dataset,model,macro_f1,minority_recall,pr_auc,fpr,fnr,roc_auc,train_time_sec,inference_latency_sec_per_sample
CICIoT2023,OracleUpperBound,1.0,1.0,0.9985237815470565,0.0,0.0,0.9736183571365572,,
CICIoT2023,DuelingDQN,0.6225251619951587,0.5043252354918446,0.992076270489862,0.49567476450815534,0.09906538210214129,0.8232288953499504,,
CICIoT2023,DQN,0.5615053102199997,0.6486109201409526,0.9909446681941118,0.3513890798590474,0.23953023658965011,0.8559864335675954,,
CICIoT2023,DoubleDQN,0.5454577940441478,0.3831861820470475,0.9967919705512527,0.6168138179529524,0.14598041183607924,0.9017965313209205,,
CICIoT2023,A2C,0.49390368204033946,0.0,0.9861855739968354,1.0,0.0,0.7187945532927276,,
CICIoT2023,PPO,0.49390368204033946,0.0,0.9861855739968354,1.0,0.0,0.7187945532927276,,
CICIoT2023,CQL_Offline,0.4869395450763691,0.0,0.9973405354232288,1.0,0.0,0.9721478227428423,,
CICIoT2023,GreedyCentrality,0.46154130486516265,0.9772671334033883,0.9985237815470565,0.022732866596611435,0.33615365681241677,0.9736183571365572,,
CICIoT2023,GreedyUncertainty,0.46154130486516265,0.9772671334033883,0.9985237815470565,0.022732866596611435,0.33615365681241677,0.9736183571365572,,
CICIoT2023,StaticThreshold,0.46154130486516265,0.9772671334033883,0.9985237815470565,0.022732866596611435,0.33615365681241677,0.9736183571365572,,
CICIoT2023,RandomAcquisition,0.41914596049586433,0.3825527105616942,0.9933733137570977,0.6174472894383057,0.34016913307532803,0.8447647662683068,,
ToN-IoT-Network,OracleUpperBound,1.0,1.0,0.9272462063428281,0.0,0.0,0.863305990320038,,
ToN-IoT-Network,GreedyCentrality,0.7950905949418122,0.6658861588112969,0.9272462063428281,0.3341138411887031,0.07929693879716722,0.863305990320038,,
ToN-IoT-Network,GreedyUncertainty,0.7950905949418122,0.6658861588112969,0.9272462063428281,0.3341138411887031,0.07929693879716722,0.863305990320038,,
ToN-IoT-Network,StaticThreshold,0.7950905949418122,0.6658861588112969,0.9272462063428281,0.3341138411887031,0.07929693879716722,0.863305990320038,,
ToN-IoT-Network,CQL_Offline,0.5684744396765243,0.26368159203980096,0.9272328933668467,0.7363184079601991,0.0292052794158944,0.8633247675689869,,
ToN-IoT-Network,DQN,0.5240104239897719,0.49606431631022,0.9226104220400813,0.5039356836897799,0.31578327054304417,0.8671530639744344,,
ToN-IoT-Network,DoubleDQN,0.5105186404074346,0.6323448874641021,0.931207623639667,0.36765511253589794,0.3560081931708005,0.8402715229446859,,
ToN-IoT-Network,RandomAcquisition,0.5102404504269334,0.3635373211214959,0.9235637291995215,0.636462678878504,0.3188272248731656,0.8513949876515229,,
ToN-IoT-Network,A2C,0.4404386725485728,0.0,0.9212085703142417,1.0,0.0,0.8500606043906301,,
ToN-IoT-Network,PPO,0.4403179986888839,0.0010708722741433,0.9239690383600783,0.9989291277258566,0.0048933744821642,0.855045731593199,,
ToN-IoT-Network,DuelingDQN,0.38124919408924557,0.4885650504816194,0.9404760743368964,0.5114349495183806,0.48838144401495015,0.819479966992691,,
UNSW-NB15,OracleUpperBound,1.0,1.0,0.9089678177483022,0.0,0.0,0.8641042556742118,,
UNSW-NB15,GreedyCentrality,0.7734909092990657,0.5943543659302675,0.9089678177483022,0.4056456340697325,0.07487294783626756,0.8641042556742118,,
UNSW-NB15,GreedyUncertainty,0.7734909092990657,0.5943543659302675,0.9089678177483022,0.4056456340697325,0.07487294783626756,0.8641042556742118,,
UNSW-NB15,StaticThreshold,0.7734909092990657,0.5943543659302675,0.9089678177483022,0.4056456340697325,0.07487294783626756,0.8641042556742118,,
UNSW-NB15,DQN,0.6259854809294044,0.4188175185800702,0.9093124377404059,0.5811824814199298,0.17353843021749168,0.8799498777264928,,
UNSW-NB15,DuelingDQN,0.573015235496631,0.2783703559891201,0.9105858358325496,0.7216296440108798,0.056882316451966265,0.8789532802337142,,
UNSW-NB15,DoubleDQN,0.5303821717060185,0.33112121725487875,0.9116522518990765,0.6688787827451211,0.22936479130203158,0.8390933638690806,,
UNSW-NB15,RandomAcquisition,0.5227033813923153,0.370371442169615,0.9045163508703649,0.629628557830385,0.3250986280353196,0.8538980670757516,,
UNSW-NB15,PPO,0.392680126125894,0.0,0.9068358696967547,1.0,0.0,0.857971648764337,,
UNSW-NB15,A2C,0.39000418515535823,0.0,0.9089678177483022,1.0,0.0,0.8641042556742118,,
UNSW-NB15,CQL_Offline,0.39000418515535823,0.0,0.9089678177483022,1.0,0.0,0.8641042556742118,,
