dataset,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,balanced_accuracy_mean,balanced_accuracy_std,n_classes_train_mean,n_classes_train_std
CICIoT2023,0.31071833543328214,0.1787722418657895,0.6968053984473718,0.3965821859734469,0.3165969615678817,0.18432814717014862,34.0,0.0
ToN-IoT-Network,0.9475451468968732,0.014956083507849436,0.9841393739213142,0.004928962147761277,0.9506220723119089,0.0127583643705654,10.0,0.0
UNSW-NB15,0.5016167700085657,0.01092297450079771,0.8003644983972592,0.001407777309555681,0.5098359223283934,0.008126694395394877,10.0,0.0
