dataset,baseline,family,winner_score,baseline_score,outcome
CICIoT2023,RandomForest,classical_tree,0.4651761767635844,0.94731919473194,loss
CICIoT2023,ExtraTrees,classical_tree,0.4651761767635844,0.906101372921563,loss
CICIoT2023,GradientBoosting,classical_tree,0.4651761767635844,0.9590310892144898,loss
CICIoT2023,HistGradientBoosting,classical_tree,0.4651761767635844,0.9515811301356214,loss
CICIoT2023,XGBoost,classical_tree,0.4651761767635844,0.957655414288847,loss
CICIoT2023,LightGBM,classical_tree,0.4651761767635844,0.9527766084387088,loss
CICIoT2023,CatBoost,classical_tree,0.4651761767635844,0.953567614195976,loss
CICIoT2023,MLP,deep,0.4651761767635844,0.8212059540354318,loss
CICIoT2023,1D-CNN,deep,0.4651761767635844,0.7337963322110572,loss
CICIoT2023,LSTM,deep,0.4651761767635844,0.8110198208270439,loss
CICIoT2023,GRU,deep,0.4651761767635844,0.8282682976677531,loss
CICIoT2023,CNN-LSTM,deep,0.4651761767635844,0.8448836275527782,loss
CICIoT2023,CNN-BiLSTM,deep,0.4651761767635844,0.7322712837988279,loss
CICIoT2023,TCN,deep,0.4651761767635844,0.7822438975459969,loss
CICIoT2023,TransformerEncoder,deep,0.4651761767635844,0.861340376238894,loss
CICIoT2023,FT-Transformer,deep,0.4651761767635844,0.8327014293493036,loss
CICIoT2023,GCN,graph,0.4651761767635844,0.8471341673640224,loss
CICIoT2023,GraphSAGE,graph,0.4651761767635844,0.7626111770266476,loss
CICIoT2023,GAT,graph,0.4651761767635844,0.831700379188156,loss
CICIoT2023,Protocol-role-GAT,graph,0.4651761767635844,0.8461874688150839,loss
CICIoT2023,HypergraphNN,graph,0.4651761767635844,0.8516629954005313,loss
CICIoT2023,DQN,rl,0.4651761767635844,0.526503100963843,loss
CICIoT2023,DoubleDQN,rl,0.4651761767635844,0.7142989964390388,loss
CICIoT2023,DuelingDQN,rl,0.4651761767635844,0.6451088756663861,loss
CICIoT2023,PPO,rl,0.4651761767635844,0.493839794119435,loss
CICIoT2023,A2C,rl,0.4651761767635844,0.493839794119435,loss
CICIoT2023,CQL_Offline,rl,0.4651761767635844,0.4938222055132751,loss
CICIoT2023,RandomAcquisition,rl,0.4651761767635844,0.4198253629594595,win
CICIoT2023,GreedyUncertainty,rl,0.4651761767635844,0.4661537350813046,tie
CICIoT2023,GreedyCentrality,rl,0.4651761767635844,0.4661537350813046,tie
CICIoT2023,StaticThreshold,rl,0.4651761767635844,0.4661537350813046,tie
CICIoT2023,OracleUpperBound,rl,0.4651761767635844,1.0,loss
ToN-IoT-Network,LogisticRegression,classical_tree,0.5715400631996609,0.8501154798338791,loss
ToN-IoT-Network,LinearSVM,classical_tree,0.5715400631996609,0.5213505126421267,win
ToN-IoT-Network,GaussianNB,classical_tree,0.5715400631996609,0.4505462046462473,win
ToN-IoT-Network,kNN,classical_tree,0.5715400631996609,0.9821852098888882,loss
ToN-IoT-Network,DecisionTree,classical_tree,0.5715400631996609,0.9954941652096246,loss
ToN-IoT-Network,RandomForest,classical_tree,0.5715400631996609,0.9977993441551388,loss
ToN-IoT-Network,ExtraTrees,classical_tree,0.5715400631996609,0.990878432009728,loss
ToN-IoT-Network,GradientBoosting,classical_tree,0.5715400631996609,0.99243137036442,loss
ToN-IoT-Network,HistGradientBoosting,classical_tree,0.5715400631996609,0.9982389965144236,loss
ToN-IoT-Network,XGBoost,classical_tree,0.5715400631996609,0.997910229013018,loss
ToN-IoT-Network,LightGBM,classical_tree,0.5715400631996609,0.9981312200481568,loss
ToN-IoT-Network,CatBoost,classical_tree,0.5715400631996609,0.996809482697623,loss
ToN-IoT-Network,MLP,deep,0.5715400631996609,0.9189168726997674,loss
ToN-IoT-Network,1D-CNN,deep,0.5715400631996609,0.657886610851846,loss
ToN-IoT-Network,LSTM,deep,0.5715400631996609,0.9694660227115154,loss
ToN-IoT-Network,GRU,deep,0.5715400631996609,0.9745389915294156,loss
ToN-IoT-Network,CNN-LSTM,deep,0.5715400631996609,0.9205685929214305,loss
ToN-IoT-Network,CNN-BiLSTM,deep,0.5715400631996609,0.9400088924434806,loss
ToN-IoT-Network,TCN,deep,0.5715400631996609,0.4627017582122815,win
ToN-IoT-Network,TransformerEncoder,deep,0.5715400631996609,0.9482508824170764,loss
ToN-IoT-Network,FT-Transformer,deep,0.5715400631996609,0.8015250678330599,loss
ToN-IoT-Network,GCN,graph,0.5715400631996609,0.8758051666454163,loss
ToN-IoT-Network,GraphSAGE,graph,0.5715400631996609,0.9595307095362412,loss
ToN-IoT-Network,GAT,graph,0.5715400631996609,0.8959381324301453,loss
ToN-IoT-Network,Protocol-role-GAT,graph,0.5715400631996609,0.8802598665797998,loss
ToN-IoT-Network,HypergraphNN,graph,0.5715400631996609,0.88429198935889,loss
ToN-IoT-Network,DQN,rl,0.5715400631996609,0.4492193488728576,win
ToN-IoT-Network,DoubleDQN,rl,0.5715400631996609,0.1163926002055498,win
ToN-IoT-Network,DuelingDQN,rl,0.5715400631996609,0.216760386967094,win
ToN-IoT-Network,PPO,rl,0.5715400631996609,0.4470574954846478,win
ToN-IoT-Network,A2C,rl,0.5715400631996609,0.4470574954846478,win
ToN-IoT-Network,CQL_Offline,rl,0.5715400631996609,0.8311647968685024,loss
ToN-IoT-Network,RandomAcquisition,rl,0.5715400631996609,0.5129672224495208,win
ToN-IoT-Network,GreedyUncertainty,rl,0.5715400631996609,0.8304500227301579,loss
ToN-IoT-Network,GreedyCentrality,rl,0.5715400631996609,0.8304500227301579,loss
ToN-IoT-Network,StaticThreshold,rl,0.5715400631996609,0.8304500227301579,loss
ToN-IoT-Network,OracleUpperBound,rl,0.5715400631996609,1.0,loss
ToN-IoT-Network,LogisticRegression,classical_tree,0.5715400631996609,0.7802217844896768,loss
ToN-IoT-Network,LinearSVM,classical_tree,0.5715400631996609,0.5566253084711915,win
ToN-IoT-Network,GaussianNB,classical_tree,0.5715400631996609,0.5427147786973479,win
ToN-IoT-Network,kNN,classical_tree,0.5715400631996609,0.9883287679525402,loss
ToN-IoT-Network,DecisionTree,classical_tree,0.5715400631996609,0.9970922489293592,loss
ToN-IoT-Network,RandomForest,classical_tree,0.5715400631996609,0.9983103949634348,loss
ToN-IoT-Network,ExtraTrees,classical_tree,0.5715400631996609,0.9952082807446616,loss
ToN-IoT-Network,GradientBoosting,classical_tree,0.5715400631996609,0.9954029187721348,loss
ToN-IoT-Network,HistGradientBoosting,classical_tree,0.5715400631996609,0.9974669144254622,loss
ToN-IoT-Network,XGBoost,classical_tree,0.5715400631996609,0.9976545503939463,loss
ToN-IoT-Network,LightGBM,classical_tree,0.5715400631996609,0.9985000068683232,loss
ToN-IoT-Network,CatBoost,classical_tree,0.5715400631996609,0.9969052972324806,loss
ToN-IoT-Network,MLP,deep,0.5715400631996609,0.9464079443183856,loss
ToN-IoT-Network,1D-CNN,deep,0.5715400631996609,0.4313233983466571,win
ToN-IoT-Network,LSTM,deep,0.5715400631996609,0.9705621718112702,loss
ToN-IoT-Network,GRU,deep,0.5715400631996609,0.9553398672401332,loss
ToN-IoT-Network,CNN-LSTM,deep,0.5715400631996609,0.9404855693404298,loss
ToN-IoT-Network,CNN-BiLSTM,deep,0.5715400631996609,0.9483412425842273,loss
ToN-IoT-Network,TCN,deep,0.5715400631996609,0.354999102124298,win
ToN-IoT-Network,TransformerEncoder,deep,0.5715400631996609,0.9276282236843204,loss
ToN-IoT-Network,FT-Transformer,deep,0.5715400631996609,0.806132428978881,loss
ToN-IoT-Network,GCN,graph,0.5715400631996609,0.9223702883331304,loss
ToN-IoT-Network,GraphSAGE,graph,0.5715400631996609,0.9679736636917357,loss
ToN-IoT-Network,GAT,graph,0.5715400631996609,0.9155527451702444,loss
ToN-IoT-Network,Protocol-role-GAT,graph,0.5715400631996609,0.9172356356069448,loss
ToN-IoT-Network,HypergraphNN,graph,0.5715400631996609,0.8662361340322854,loss
ToN-IoT-Network,DQN,rl,0.5715400631996609,0.4348875172104613,win
ToN-IoT-Network,DoubleDQN,rl,0.5715400631996609,0.8792938553293137,loss
ToN-IoT-Network,DuelingDQN,rl,0.5715400631996609,0.4387770213016201,win
ToN-IoT-Network,PPO,rl,0.5715400631996609,0.4371083456845097,win
ToN-IoT-Network,A2C,rl,0.5715400631996609,0.4374703672635763,win
ToN-IoT-Network,CQL_Offline,rl,0.5715400631996609,0.4374703672635763,win
ToN-IoT-Network,RandomAcquisition,rl,0.5715400631996609,0.5129954911825636,win
ToN-IoT-Network,GreedyUncertainty,rl,0.5715400631996609,0.7805092832867355,loss
ToN-IoT-Network,GreedyCentrality,rl,0.5715400631996609,0.7805092832867355,loss
ToN-IoT-Network,StaticThreshold,rl,0.5715400631996609,0.7805092832867355,loss
ToN-IoT-Network,OracleUpperBound,rl,0.5715400631996609,1.0,loss
ToN-IoT-Network,LogisticRegression,classical_tree,0.5715400631996609,0.7874986486486486,loss
ToN-IoT-Network,LinearSVM,classical_tree,0.5715400631996609,0.5614789051518808,win
