accuracy,balanced_accuracy,macro_f1,weighted_f1,attack_recall,minority_recall,precision_attack,fpr,fnr,roc_auc,pr_auc,model,family,train_time_sec,inference_latency_sec_per_sample,peak_memory_MB,seed,eval_split,dataset,n_params,cumulative_reward,cumulative_reward_per_window,avg_detection_delay,telemetry_cost,escalation_rate,isolation_rate,abstention_rate,budget_violation_rate
0.8077333333333333,0.7676875658382427,0.779565706326611,0.8014715259122194,0.911737089201878,0.6236380424746075,0.8108935696390461,0.3763619575253924,0.088262910798122,0.8718818020809099,0.9157396313925754,LogisticRegression,classical_tree,1.0967614650726318,2.232233683268229e-07,3.459308,0,test,UNSW-NB15,,,,,,,,,
0.8914,0.8676213844057471,0.8784208587633053,0.8894641191095645,0.9531559728742828,0.7820867959372114,0.8856145792943001,0.2179132040627885,0.0468440271257172,0.9591899084393852,0.9718177955138566,LinearSVM,classical_tree,16.27025532722473,8.576393127441406e-07,27.810097,0,test,UNSW-NB15,,,,,,,,,
0.7516666666666667,0.7729062174421311,0.7468122942838562,0.756558434310972,0.6965049556598852,0.8493074792243768,0.8910838227442606,0.1506925207756232,0.3034950443401147,0.8596836777995011,0.904182754173056,GaussianNB,classical_tree,0.0362493991851806,6.727854410807292e-07,30.200867,0,test,UNSW-NB15,,,,,,,,,
0.9208666666666666,0.9139775763434614,0.914193809442624,0.920845928645172,0.9387584767866458,0.889196675900277,0.9374869764534278,0.1108033240997229,0.0612415232133542,0.9810654439960096,0.9872264230992543,kNN,classical_tree,0.003746747970581,0.0001443761189778,6.696638,0,test,UNSW-NB15,,,,,,,,,
0.9326,0.940432231224631,0.9287214988400924,0.93334377658711,0.9122587376108504,0.9686057248384118,0.9809288759255104,0.0313942751615881,0.0877412623891497,0.9813370865045272,0.9853191419563956,DecisionTree,classical_tree,0.5750656127929688,1.4521280924479166e-07,16.316954,0,test,UNSW-NB15,,,,,,,,,
0.9413333333333334,0.9440119531181136,0.9373281080928328,0.9417325883810416,0.934376630151278,0.9536472760849491,0.9727381340284568,0.0463527239150507,0.0656233698487219,0.9904509151967308,0.9947689290128509,RandomForest,classical_tree,2.1037700176239014,9.186093012491862e-06,224.397977,0,test,UNSW-NB15,,,,,,,,,
0.9252,0.922630726391797,0.9195167385194574,0.9254623482469696,0.9318727177882108,0.9133887349953832,0.9501116902457184,0.0866112650046168,0.0681272822117892,0.9839451551482556,0.9909548252460452,ExtraTrees,classical_tree,1.3392374515533447,7.305717468261718e-06,182.650455,0,test,UNSW-NB15,,,,,,,,,
0.9362666666666668,0.92968323947997,0.9307548031636228,0.936185916303437,0.9533646322378716,0.9060018467220684,0.9472374831553853,0.0939981532779316,0.0466353677621283,0.9881216948419428,0.99345525686649,GradientBoosting,classical_tree,32.76742386817932,1.122411092122396e-06,19.177561,0,test,UNSW-NB15,,,,,,,,,
0.9420666666666668,0.9405686401160632,0.9376244135145648,0.9422519917419604,0.9459572248304644,0.935180055401662,0.962730940751752,0.0648199445983379,0.0540427751695357,0.9906344410294056,0.9948765861034512,HistGradientBoosting,classical_tree,1.8409364223480225,2.0627180735270184e-06,62.184165,0,test,UNSW-NB15,,,,,,,,,
0.9447333333333332,0.9421731786017222,0.9403481283231064,0.9448443921275436,0.9513823682837768,0.9329639889196676,0.9617169373549884,0.0670360110803324,0.0486176317162232,0.9910231293028168,0.9950905463723672,XGBoost,classical_tree,0.4146404266357422,2.775192260742188e-07,0.565342,0,test,UNSW-NB15,,,,,,,,,
