accuracy,balanced_accuracy,macro_f1,weighted_f1,attack_recall,minority_recall,precision_attack,fpr,fnr,roc_auc,pr_auc,model,family,label_fraction,n_train_labels,dataset,seed
0.9158666666666667,0.9104237393299759,0.9091803635760004,0.9159915214663942,0.9301159511125039,0.890731527547448,0.9375592292302832,0.10926847245255206,0.06988404888749608,0.9771318591107664,0.986738981326585,HistGradientBoosting,classical_tree,0.01,699,UNSW-NB15,42
0.7923333333333333,0.7382668063399473,0.7528562034349153,0.7801576514013608,0.9338765277342526,0.5426570849456421,0.7827000525302049,0.45734291505435787,0.06612347226574741,0.8222819573607678,0.8281332671665875,MLP,deep,0.01,699,UNSW-NB15,42
0.9267333333333333,0.9196554975970341,0.9205102354680668,0.9266577131305388,0.9452627180612139,0.8940482771328543,0.9402535328345802,0.10595172286714576,0.05473728193878617,0.9833202897306281,0.9905807950033672,HistGradientBoosting,classical_tree,0.05,3499,UNSW-NB15,42
0.7608666666666667,0.7737859040972119,0.7539948697883028,0.7653592375017838,0.7270448135380758,0.8205269946563479,0.8772372069573985,0.1794730053436521,0.2729551864619242,0.8490498399976394,0.8394218423642131,MLP,deep,0.05,3499,UNSW-NB15,42
0.9320666666666667,0.9277841845706065,0.9266420091990104,0.9321557698905777,0.9432779692886243,0.9122903998525889,0.9499263622974963,0.0877096001474111,0.05672203071137574,0.9857866114333178,0.992089762430642,HistGradientBoosting,classical_tree,0.1,6999,UNSW-NB15,42
0.8267333333333333,0.7838517003293248,0.7989397168356401,0.8196017813863729,0.9389950903582994,0.6287083103003501,0.8168847691748455,0.3712916896996499,0.06100490964170062,0.8954990591340337,0.9176947254005762,MLP,deep,0.1,6999,UNSW-NB15,42
0.9363333333333334,0.9331220044490109,0.9313457224246644,0.9364603983651398,0.9447404157526377,0.9215035931453842,0.9550158394931362,0.07849640685461581,0.055259584247362374,0.9874272778005967,0.9930355400109054,HistGradientBoosting,classical_tree,0.25,17499,UNSW-NB15,42
0.8628,0.8370069173151848,0.8466339200856903,0.8603966649162299,0.9303248720359344,0.7436889625944352,0.8649121103233952,0.25631103740556477,0.0696751279640656,0.9038662997711899,0.8733861087386688,MLP,deep,0.25,17499,UNSW-NB15,42
0.9394666666666667,0.9367339746593587,0.9347522955694567,0.9395999598970938,0.946620704063512,0.9268472452552055,0.9580293899989428,0.07315275474479455,0.05337929593648804,0.9892597341145367,0.994060391115316,HistGradientBoosting,classical_tree,0.5,34999,UNSW-NB15,42
0.8928,0.8910752249869887,0.8854978443592516,0.8934901192501025,0.8973153661339183,0.8848350838400589,0.9321758003255561,0.11516491615994104,0.10268463386608169,0.9624821599644031,0.9770277138082327,MLP,deep,0.5,34999,UNSW-NB15,42
0.9422,0.9400724651866311,0.9377440902590344,0.9423476790420007,0.9477697691423796,0.9323751612308826,0.9611228813559322,0.06762483876911737,0.052230230857620394,0.9901313928594739,0.9945869159930961,HistGradientBoosting,classical_tree,1.0,69999,UNSW-NB15,42
0.9000666666666667,0.9078609933260217,0.8948501690667585,0.9013235599824182,0.8796615481040426,0.9360604385480007,0.9604242700729927,0.06393956145199926,0.12033845189595738,0.9721280740310734,0.9839809668615696,MLP,deep,1.0,69999,UNSW-NB15,42
0.8906123968480486,0.8228282747348423,0.8551335282776742,0.8831260708946962,0.9964301651048639,0.6492263843648208,0.8663097454996896,0.35077361563517917,0.0035698348951361,0.9933143722192426,0.9969332449361642,HistGradientBoosting,classical_tree,0.01,690,ToN-IoT-Network,42
0.7570267419494944,0.6562662157860542,0.6696460795574909,0.7359853856779973,0.9143239625167336,0.3982084690553746,0.7760775698810696,0.6017915309446255,0.0856760374832664,0.8193140731583591,0.8389140115056828,MLP,deep,0.01,690,ToN-IoT-Network,42
0.9944158342123224,0.9918677969205814,0.993390858331365,0.9944071137620984,0.9983935742971888,0.9853420195439739,0.9936051159072742,0.014657980456026058,0.001606425702811245,0.9990978208890575,0.9994932422991124,HistGradientBoosting,classical_tree,0.05,3450,ToN-IoT-Network,42
0.7911521995408575,0.6893841199034284,0.709650491475289,0.7697149309713216,0.9500223114680946,0.42874592833876224,0.791390974648725,0.5712540716612378,0.0499776885319054,0.8286338804366944,0.9009861560239042,MLP,deep,0.05,3450,ToN-IoT-Network,42
0.9954085747967985,0.9936107986052063,0.9945720858032949,0.9954040796765551,0.998215082552432,0.9890065146579805,0.9951953020731382,0.010993485342019544,0.00178491744756805,0.9988558650090772,0.9992896704092213,HistGradientBoosting,classical_tree,0.1,6900,ToN-IoT-Network,42
0.7766333684928957,0.7386835343545736,0.7376167147340009,0.7771230384837555,0.8358768406961178,0.6414902280130294,0.8417363170665948,0.3585097719869707,0.1641231593038822,0.7974315103337708,0.88915039464455,MLP,deep,0.1,6900,ToN-IoT-Network,42
0.9979524725445182,0.997269734021137,0.99758263979574,0.9979518272145314,0.9990182954038376,0.9955211726384365,0.9980385164051355,0.004478827361563518,0.0009817045961624275,0.9995427239177485,0.9997756330966833,HistGradientBoosting,classical_tree,0.25,17252,ToN-IoT-Network,42
0.8497859403114724,0.7915798190954189,0.8098793927814177,0.8438896722514386,0.9406514948683623,0.6425081433224755,0.8571893298633702,0.3574918566775244,0.05934850513163766,0.9080486804256476,0.9539261078801835,MLP,deep,0.25,17252,ToN-IoT-Network,42
0.9978283799714587,0.9970089823644923,0.997435545110041,0.997827445836563,0.9991075412762159,0.9949104234527687,0.9977718360071302,0.00508957654723127,0.000892458723784025,0.999608404664623,0.9998238873293767,HistGradientBoosting,classical_tree,0.5,34504,ToN-IoT-Network,42
0.8469318111311038,0.7949010119377256,0.809425058205306,0.842436246479718,0.928157072735386,0.6616449511400652,0.8622119051566904,0.33835504885993484,0.07184292726461401,0.9048711857927548,0.955616372366384,MLP,deep,0.5,34504,ToN-IoT-Network,42
0.9986970279828752,0.9982053894186954,0.9984618561274656,0.9986966921297019,0.9994645247657296,0.9969462540716613,0.9986623863028358,0.0030537459283387623,0.000535475234270415,0.9998059919736856,0.999921829767798,HistGradientBoosting,classical_tree,1.0,69009,ToN-IoT-Network,42
0.8646770490786126,0.8076060030930816,0.828055980652323,0.8590396299675476,0.9537706381079875,0.6614413680781759,0.8653441295546559,0.3385586319218241,0.046229361892012495,0.9305224244789511,0.9554820549888341,MLP,deep,1.0,69009,ToN-IoT-Network,42
0.988359407060425,0.874360870770345,0.8769968959264804,0.9883184063883547,0.9942135448193785,0.7545081967213115,0.9938566622907778,0.24549180327868853,0.005786455180621531,0.9930108673476511,0.9998041954031262,HistGradientBoosting,classical_tree,0.01,1000,CICIoT2023,42
0.8173938283838292,0.8974208003755377,0.5523770377713842,0.8799774357565554,0.813284223701895,0.9815573770491803,0.9994326419971001,0.018442622950819672,0.18671577629810504,0.9617285588406502,0.9977020770008637,MLP,deep,0.01,1000,CICIoT2023,42
0.993283888338388,0.9302281986588758,0.929627353714517,0.9932885777339213,0.9965219710882435,0.8639344262295082,0.9965935441505407,0.1360655737704918,0.0034780289117565585,0.9983620559306878,0.9999591648923338,HistGradientBoosting,classical_tree,0.05,5000,CICIoT2023,42
0.9206477894884345,0.8272706610037761,0.6338362702379657,0.9420752110435571,0.9254429613518145,0.7290983606557377,0.9927253117330487,0.2709016393442623,0.07455703864818558,0.7684653561140667,0.9847018601882871,MLP,deep,0.05,5000,CICIoT2023,42
0.9942847991672422,0.9465244498082535,0.9407998573253462,0.9943214080002707,0.9967374242066709,0.896311475409836,0.9974025707363148,0.10368852459016394,0.0032625757933291612,0.9988250572817687,0.9999706980076608,HistGradientBoosting,classical_tree,0.1,10000,CICIoT2023,42
0.952036353081304,0.9448502310696851,0.731600482768038,0.9629579628603626,0.9524053801721573,0.9372950819672131,0.9983545379262876,0.06270491803278688,0.0475946198278427,0.9342998442211724,0.9966173894336727,MLP,deep,0.1,10000,CICIoT2023,42
0.9955659650281756,0.9567709022742666,0.9537790791343739,0.9955804810839517,0.9975581979911562,0.9159836065573771,0.9978960548462581,0.08401639344262295,0.0024418020088438374,0.9992175885598935,0.9999805330686288,HistGradientBoosting,classical_tree,0.25,25000,CICIoT2023,42
0.9517560980492248,0.7898707432661649,0.6802050132075561,0.9604985888488848,0.960069355384789,0.6196721311475409,0.990180413734723,0.380327868852459,0.03993064461521099,0.6564750326669647,0.9761138402106981,MLP,deep,0.25,25000,CICIoT2023,42
0.9955559559198871,0.9535691612919719,0.9533879979550048,0.9955568434141354,0.9977120930757472,0.9094262295081967,0.9977325658940975,0.09057377049180328,0.0022879069242528393,0.9993197753165404,0.9999830448165599,HistGradientBoosting,classical_tree,0.5,50000,CICIoT2023,42
0.9586123372268764,0.9408283701467755,0.7497532119831674,0.9672047733564437,0.9595255927525674,0.9221311475409836,0.9979725547943744,0.0778688524590164,0.040474407247432516,0.9548143323080949,0.9982063608375017,MLP,deep,0.5,50000,CICIoT2023,42
0.9960964477674684,0.9604391829331529,0.9591549022989749,0.9961018909252494,0.9979275461941746,0.9229508196721311,0.9980709045200349,0.07704918032786885,0.002072453805825442,0.9994901867916306,0.9999872738837478,HistGradientBoosting,classical_tree,1.0,100000,CICIoT2023,42
0.9861974396700998,0.9337886497413469,0.8747793269213742,0.9871278746644043,0.9888887748925299,0.8786885245901639,0.9969384166649428,0.12131147540983607,0.011111225107470068,0.9629043067749663,0.9977635438145787,MLP,deep,1.0,100000,CICIoT2023,42
