dataset,best_tree,n,aegis,tree,diff,ci90_lo,ci90_hi,delta_star,p_0.005,p_0.01,p_0.02
UNSW-NB15,XGBoost,3,0.9378048642853442,0.9403248366261758,-0.002519972340831752,-0.008167734028178202,0.0031277893465146956,0.008167734028174738,0.1641563090734156,0.030413062840812872,0.006011588944068507
ToN-IoT-Network,LightGBM,3,0.9966843151204641,0.9983603423358565,-0.001676027215392284,-0.002833542946580434,-0.0005185114842041346,0.002833542946579724,0.006963073258695414,0.0011301256318157697,0.00023383976693027892
CICIoT2023,GradientBoosting,3,0.9532577806943378,0.9598754770947027,-0.006617696400364988,-0.016028404003309564,0.0027930112025795805,0.016028404003303787,0.6672423543759565,0.2020367736962233,0.026698097404617697
