accuracy,balanced_accuracy,macro_f1,weighted_f1,precision_attack,recall_attack,minority_recall,fpr,fnr,roc_auc,pr_auc,threshold,tn,fp,fn,tp,dataset,seed,component,split,note,train_time_sec
0.9437408345553926,0.9424394073300032,0.9394859534365867,0.9439205278756438,0.964065490112694,0.9471485272613328,0.9471485272613328,0.06226971260132646,0.05285147273866722,0.9902193040319373,0.9946099379994433,0.48000000000000004,2545,169,253,4534,UNSW-NB15,0,Full_AegisGraphX_backbone,val,,
0.9444,0.9435145525468689,0.9402391111982276,0.9445955344409119,0.9654805028766248,0.9467195988299206,0.9467195988299206,0.05969049373618276,0.0532804011700794,0.9903335878010692,0.9947047271353585,0.48000000000000004,2552,162,255,4531,UNSW-NB15,0,Full_AegisGraphX_backbone,test,,
0.9445407279029463,0.9446617119966428,0.9404988763414189,0.9447846862069157,0.968087384878989,0.9442239398370587,0.9442239398370587,0.05490051584377303,0.0557760601629413,0.9897136050273717,0.9942789292206522,0.46,2565,149,267,4520,UNSW-NB15,0,No_ExpertEnsemble_BestSingleExpert,val,LightGBM,
0.9444,0.9451097234287797,0.9404175390266072,0.9446731651931208,0.9694820545884376,0.9425407438361889,0.9425407438361889,0.05232129697862933,0.05745925616381112,0.9900556646889217,0.9945473632847976,0.46,2572,142,275,4511,UNSW-NB15,0,No_ExpertEnsemble_BestSingleExpert,test,LightGBM,
0.9428076256499134,0.9349269291878228,0.9376779753811726,0.9426193159978545,0.9478010686395396,0.9634426571965741,0.9634426571965741,0.09358879882092852,0.03655734280342594,0.9893521495440473,0.9940358675047786,0.47500000000000003,2460,254,175,4612,UNSW-NB15,0,No_MoERouter_EqualWeight,val,,
0.9441333333333334,0.9369249262695389,0.9391969128245872,0.9439831848386827,0.9501133786848073,0.9630171333054743,0.9630171333054743,0.08916728076639646,0.0369828666945257,0.9894460045434654,0.9941703934209761,0.47500000000000003,2472,242,177,4609,UNSW-NB15,0,No_MoERouter_EqualWeight,test,,
0.9449406745767231,0.9425018692390146,0.9406354951338998,0.9450536322551732,0.9619771863117871,0.95132650929601,0.95132650929601,0.06632277081798084,0.04867349070398997,0.9901998303868604,0.994570919087466,0.48000000000000004,2534,180,233,4554,UNSW-NB15,0,No_GraphBranch,val,,
0.9434666666666667,0.9418261503938195,0.9391573685860386,0.9436307481567107,0.9630573248407643,0.9477643125783536,0.9477643125783536,0.06411201179071481,0.05223568742164647,0.9904063405271024,0.9947396238544732,0.48000000000000004,2540,174,250,4536,UNSW-NB15,0,No_GraphBranch,test,,
0.9450739901346488,0.9426063187898814,0.9407746486430961,0.9451846114892062,0.9619852164730729,0.9515354083977439,0.9515354083977439,0.06632277081798084,0.04846459160225611,0.9901955969857569,0.9945683034930286,0.48000000000000004,2534,180,232,4555,UNSW-NB15,0,No_TemporalBranch,val,,
0.9434666666666667,0.9418261503938195,0.9391573685860386,0.9436307481567107,0.9630573248407643,0.9477643125783536,0.9477643125783536,0.06411201179071481,0.05223568742164647,0.9904111137218262,0.9947425708622937,0.48000000000000004,2540,174,250,4536,UNSW-NB15,0,No_TemporalBranch,test,,
0.9437408345553926,0.943476552114938,0.9396045900650452,0.9439726159583158,0.9666452854393842,0.9444328389387926,0.9444328389387926,0.05747973470891673,0.05556716106120744,0.9902193040319373,0.9946099379994433,0.5,2558,156,266,4521,UNSW-NB15,0,No_Calibration_Raw0.5,val,,
0.944,0.9443177580396767,0.9399488661735891,0.9442578750484985,0.9682539682539683,0.9431675720852486,0.9431675720852486,0.054532056005895356,0.056832427914751356,0.9903335878010692,0.9947047271353585,0.5,2566,148,272,4514,UNSW-NB15,0,No_Calibration_Raw0.5,test,,
0.9040127982935608,0.882672289033844,0.8929739216182089,0.9024731293176712,0.8969353894202615,0.9598913724670984,0.9598913724670984,0.19454679439941047,0.040108627532901606,0.9426890240532614,0.9346320092762017,0.5750000000000001,2186,528,192,4595,UNSW-NB15,0,Full_DistilledStudent,val,,6.716033220291138
0.908,0.8881152378544521,0.897698159159919,0.906666820597166,0.9020416175893208,0.9600919348098621,0.9600919348098621,0.183861459100958,0.039908065190137905,0.9417097845256721,0.9342790117123974,0.5750000000000001,2215,499,191,4595,UNSW-NB15,0,Full_DistilledStudent,test,,6.716033220291138
0.9052126383148913,0.8892767411247515,0.8956008756024906,0.9043553501643564,0.9084168336673347,0.9469396281595989,0.9469396281595989,0.1683861459100958,0.053060371840401084,0.9687115482102027,0.9684505121057972,0.51,2257,457,254,4533,UNSW-NB15,0,No_FocalLoss,val,,6.4000420570373535
0.9028,0.8871514374552898,0.89306424784091,0.9019782904717693,0.907574844283705,0.9437944003343084,0.9437944003343084,0.1694915254237288,0.0562055996656916,0.9702376681434828,0.9737937201996226,0.51,2254,460,269,4517,UNSW-NB15,0,No_FocalLoss,test,,6.4000420570373535
0.9145447273696841,0.9059225127498496,0.9071867310567506,0.9144088552786782,0.9295482801491919,0.9371213703781074,0.9371213703781074,0.12527634487840825,0.06287862962189263,0.9748920059378453,0.9795742564005113,0.64,2374,340,301,4486,UNSW-NB15,0,No_ContrastiveLearning,val,,4.053286075592041
0.9176,0.9096746806039846,0.9105902777777778,0.917506537037037,0.9329040299127545,0.9383618888424572,0.9383618888424572,0.11901252763448784,0.061638111157542835,0.9781984715922546,0.9845419095877742,0.64,2391,323,295,4491,UNSW-NB15,0,No_ContrastiveLearning,test,,4.053286075592041
0.9106785761898414,0.8901286168832039,0.9004632387752554,0.9092757208644926,0.9022864959937463,0.9644871527052433,0.9644871527052433,0.18422991893883567,0.035512847294756636,0.9738243421794995,0.9854347034721279,0.495,2214,500,170,4617,UNSW-NB15,0,No_HardClassMining,val,,6.838424444198608
