dataset,best_tree,n,aegis,tree,diff,ci90_lo,ci90_hi,delta_star,p_0.005,p_0.01,p_0.02
UNSW-NB15,XGBoost,10,0.9399904974065653,0.9395405779572015,0.0004499194493637226,-8.3614822511868e-05,0.000983453721239313,0.0009834537212400712,3.936950085296647e-08,5.5814174813679685e-11,9.072380228342481e-14
ToN-IoT-Network,LightGBM,10,0.9970685702560445,0.9974945199900189,-0.00042594973397442893,-0.001124024798673761,0.00027212533072490283,0.0011240247986747524,3.819346304369185e-07,5.987890726481925e-10,1.002509851946642e-12
CICIoT2023,GradientBoosting,10,0.9492013748021154,0.9609455683168079,-0.01174419351469228,-0.014802197738619322,-0.00868618929076524,0.014802197738623665,0.9985418271340843,0.8384823330002674,0.0003962361039499577
