candidate,macro_f1_mean,macro_f1_std,minority_recall_mean,minority_recall_std,pr_auc_mean,pr_auc_std,fpr_mean,fpr_std,fnr_mean,fnr_std,cumulative_reward_per_window_mean,cumulative_reward_per_window_std,avg_detection_delay_mean,avg_detection_delay_std,telemetry_cost_mean,telemetry_cost_std,latency_sec_mean,latency_sec_std,peak_memory_MB_mean,peak_memory_MB_std
C3_OfflineSafeGraphRL,0.5440881784252001,0.1822262713657428,0.24650797966968874,0.39735543822928704,0.955545854751918,0.040415930611158495,0.7534920203303113,0.39735543822928704,0.015848051302740283,0.027217325422100702,0.21523006510304063,65.99072016890258,1.3332943469785574,2.0655307219007217,2.6666666666666665,4.131182235954578,35.91226816177368,38.80063580473762,9.207065833333333,5.807911230198733
C9_SelfSupervisedWorldModelRL,0.4647093770126111,0.030368320314836276,0.026010860779659167,0.0389424649023313,0.9449405646522306,0.044314514856289185,0.9739891392203407,0.03894246490233133,0.010779644370834717,0.011323113114351904,52.651737917966294,45.2089341125903,0.12443427659248722,0.23348251690908484,0.3111128753396139,0.4709088895640285,53.33179887135824,24.897964782556922,4.226516,4.361796630738348
C10_ByzantineRobustFederatedRL,0.445326528943641,0.043213626563550156,0.0,0.0,0.9577918240892789,0.02909157582742782,1.0,0.0,0.0,0.0,58.6124469331358,47.92050081034053,0.00032238341392918334,0.0007896748656629581,0.02061122956645343,0.05048699540917705,56.51862549781799,23.931802333779405,8.921681999999999,2.190908765888621
C5_HierarchicalMultiAgentRL,0.4429752948284944,0.04813651416848948,0.028673835125448018,0.07023626502604093,0.9497343231373723,0.04638859952894944,0.971326164874552,0.07023626502604094,0.05216049382716048,0.1277665946081349,48.45441357044572,45.44440683023202,0.0,0.0,0.0,0.0,40.614193161328636,14.777441444276102,3.9727483333333335,5.080048968148109
C7_LogicPreservingAdversarialRL,0.4429067223888863,0.046093150977842855,0.0,0.0,0.9490442585003688,0.036454202349137314,1.0,0.0,0.0,0.0,63.98071068164768,43.32205139873999,0.0,0.0,0.0,0.0,65.11084055900574,25.226455434220405,4.217119333333333,3.823775542451814
C4_BudgetedActiveAcquisitionRL,0.4426730584062424,0.046712272785974895,0.0,0.0,0.9500568179679085,0.0363759164208401,1.0,0.0,0.0,0.0,61.90559546733272,43.734513680632006,1.851851851851667e-05,4.536092116264691e-05,0.0011820330969267,0.002895377946552186,40.36711633205414,15.747305731102726,4.586005,3.8541252242576136
C1_ConformalRiskGraphRL,0.4355194691729807,0.04941176271527702,0.034801762114537435,0.08524655933033966,0.9547959855745668,0.03524885012744375,0.9651982378854626,0.0852465593303397,0.07022437089376472,0.17201387619767822,51.9077165086423,41.52971761124435,0.0,0.0,0.0,0.0,39.194253047307335,16.363437414591765,4.482379166666667,4.728294900651752
C8_NeuroSymbolicATTCKRL,0.4261071185956842,0.052945672747956814,0.011325863678804851,0.02187086193579444,0.947981545161285,0.044292832636857196,0.9886741363211952,0.021870861935794447,0.06553337719286562,0.10454786801363371,37.73609869850349,35.83453588187476,0.0,0.0,0.0,0.0,62.63897303740183,28.193991670253904,25.3548085,25.371118197889395
C2_CausalCounterfactualRL,0.41115197155184413,0.10562824540917855,0.09796156086196856,0.21904870926934455,0.9568687986616784,0.03587900274358156,0.9020384391380315,0.21904870926934455,0.16401058512202293,0.3667388173623589,57.5797790303802,48.86759859957576,0.0,0.0,0.0,0.0,41.43127592404684,20.36093490179997,3.9967325000000002,4.003315569481914
C6_ContinualMetaGraphRL,0.407055869990238,0.09858327786736433,0.09828034393121376,0.24073669437671108,0.947391679570963,0.04038803640463634,0.9017196560687862,0.2407366943767111,0.14366139515840115,0.3518971138744245,53.616779841925315,50.47870697988557,0.0,0.0,0.0,0.0,69.46758290131886,35.05183082061903,7.913721833333334,4.508461923109895
