accuracy,balanced_accuracy,macro_f1,weighted_f1,precision_benign,recall_benign,f1_benign,precision_attack,recall_attack,f1_attack,minority_recall,fpr,fnr,roc_auc,pr_auc,threshold,threshold_key,tn,fp,fn,tp,dataset,seed,candidate,split,n_experts,latency_sec,peak_memory_MB,row_cap,post_determinism_fix,rl_train_time_sec,eval_latency_sec,n_rl_params,attack_recall,cumulative_reward,cumulative_reward_per_window,avg_detection_delay,telemetry_cost,escalation_rate,isolation_rate,abstention_rate,budget_violation_rate,calibration_violation_rate,commit_rate
0.947470168655423,0.9419088729543408,0.9429395300901796,0.9474080023349156,0.9318775662560657,0.9218980797636632,0.92686096157416,0.9561339832002489,0.9619196661450182,0.9590180986061992,0.9619196661450182,0.07810192023633677,0.03808033385498174,0.9912799283253545,0.9952439210087948,0.39,temperature,4993.0,423.0,365.0,9220.0,UNSW-NB15,0,A_TreeGuidedGraphMoE,val,9,139.88743829727173,964.448929,100000,True,,,,,,,,,,,,,,
0.9462,0.9415934408131357,0.9416821484383233,0.9461945893993272,0.9258780036968577,0.9250230840258541,0.9254503464203233,0.9576642335766423,0.9581637976004174,0.9579139504563233,0.9581637976004174,0.0749769159741459,0.04183620239958268,0.9916632492193337,0.9954402456712076,0.39,temperature,5009.0,406.0,401.0,9184.0,UNSW-NB15,0,A_TreeGuidedGraphMoE,test,9,139.88743829727173,964.448929,100000,True,,,,,,,,,,,,,,
0.945336977534831,0.9472665854528671,0.9414931965213926,0.9456608748165874,,,,0.9732210344455242,,,0.9542097488921714,0.04579025110782865,0.05967657798643714,0.9912799379569721,0.9952439333926056,,,,,,,UNSW-NB15,0,B_BudgetedRLInvestigation,val,9,165.6628291606903,0.499653,100000,True,25.77539086341858,9.98138952255249,9875.0,0.9403234220135629,22671.689999999984,96.47527659574462,0.0,0.0,0.0,0.512565828944737,0.0,0.0,0.030131324578361443,0.487434171055263
0.9468666666666666,0.9489040325878529,0.9431257545798242,0.9471807593633266,,,,0.9744115741740444,,,0.9562326869806094,0.04376731301939058,0.058424621804903494,0.9916632492193337,0.995440245635168,,,,,,,UNSW-NB15,0,B_BudgetedRLInvestigation,test,9,165.6628291606903,0.499653,100000,True,25.77539086341858,9.713110208511353,9875.0,0.9415753781950965,22441.35,95.49510638297872,0.0,0.0,0.0,0.4762,0.0,0.0,0.0286,0.5238
0.945336977534831,0.9472665854528671,0.9414931965213926,0.9456608748165874,,,,0.9732210344455242,,,0.9542097488921714,0.04579025110782865,0.05967657798643714,0.9912799379569721,0.9952439333926056,,,,,,,UNSW-NB15,0,C_SafetyShieldedRL,val,9,165.6628291606903,0.499653,100000,True,25.77539086341858,9.512983560562134,9875.0,0.9403234220135629,22671.689999999984,96.47527659574462,0.0,0.0,0.0,0.512565828944737,0.0,0.0,0.030131324578361443,0.487434171055263
0.9468666666666666,0.9489040325878529,0.9431257545798242,0.9471807593633266,,,,0.9744115741740444,,,0.9562326869806094,0.04376731301939058,0.058424621804903494,0.9916632492193337,0.995440245635168,,,,,,,UNSW-NB15,0,C_SafetyShieldedRL,test,9,165.6628291606903,0.499653,100000,True,25.77539086341858,9.444324493408203,9875.0,0.9415753781950965,22441.35,95.49510638297872,0.0,0.0,0.0,0.4762,0.0,0.0,0.0286,0.5238
0.9985479186834463,0.9972848485513104,0.9978948531328001,0.9985470268496714,0.9984365228267668,0.9950140230601433,0.9967223349461527,0.9985795454545454,0.9995556740424776,0.9990673713194476,0.9995556740424776,0.004985976939856653,0.0004443259575224385,0.9999557197129274,0.9999872552134019,0.385,temperature,3193.0,16.0,5.0,11248.0,ToN-IoT-Network,0,A_TreeGuidedGraphMoE,val,9,149.37395787239075,955.21368,100000,True,,,,,,,,,,,,,,
0.9988431439265056,0.9971149877842742,0.9981281699641904,0.998841963062221,0.9996427295462665,0.994314143567875,0.9969713165864956,0.9986550100874243,0.9999158320006734,0.9992850233418851,0.9999158320006734,0.005685856432125089,8.416799932665601e-05,0.9999172826573781,0.9999797157402077,0.385,temperature,2798.0,16.0,1.0,11880.0,ToN-IoT-Network,0,A_TreeGuidedGraphMoE,test,9,149.37395787239075,955.21368,100000,True,,,,,,,,,,,,,,
0.9983404784953672,0.997262929947672,0.9975954600050279,0.9983399232020825,,,,0.9986677324806821,,,0.9953256466188843,0.004674353381115612,0.0007997867235403892,0.9999557197129275,0.9999872552112138,,,,,,,ToN-IoT-Network,0,B_BudgetedRLInvestigation,val,9,164.75774431228638,0.501996,100000,True,15.38378643989563,6.676322937011719,9747.0,0.9992002132764596,24374.23000000002,107.85057522123903,0.0,0.0,0.0,0.0,0.0,0.0,0.0006223205642373116,1.0
0.9988431439265056,0.9975217848257959,0.9981296967537789,0.998842436453549,,,,0.9989066442388562,,,0.9953802416488984,0.004619758351101635,0.00033667199730662403,0.9999172826573781,0.9999797155651645,,,,,,,ToN-IoT-Network,0,B_BudgetedRLInvestigation,test,9,164.75774431228638,0.501996,100000,True,15.38378643989563,6.838924407958984,9747.0,0.9996633280026934,25601.80000000004,111.31217391304365,0.0,0.0,0.0,0.0,0.0,0.0,0.00047635250085062945,1.0
