ece,brier,nll,fpr,fnr,alerts_per_10k_flows,threshold,dataset,seed,calibration
0.007298877941894632,0.03832330813997226,0.1176584007858551,0.05969049373618276,0.0532804011700794,6257.333333333334,0.48000000000000004,UNSW-NB15,0,uncalibrated
0.007977746741722027,0.03833856302843762,0.11768542988922778,0.0578481945467944,0.05432511491851233,6244.0,0.48500000000000004,UNSW-NB15,0,temperature
0.004266044618686041,0.038186932400500785,0.13213583903491444,0.05969049373618276,0.0532804011700794,6257.333333333334,0.465,UNSW-NB15,0,isotonic
0.005984526676868647,0.0381900081834663,0.11719761982985144,0.05711127487103906,0.054951943167572084,6237.333333333334,0.525,UNSW-NB15,0,platt
0.007298877941894632,0.03832330813997226,0.1176584007858551,0.04900515843773029,0.06226493940660259,6161.333333333333,0.5322273373603821,UNSW-NB15,0,conformal_fpr_control_alpha05
0.0012685404744952268,0.0019522669689560248,0.008488233011925302,0.006289308176100629,0.0013932427725531174,7834.151663938897,0.5,ToN-IoT-Network,0,uncalibrated
0.001159169189637687,0.0019541199244450204,0.008506518620468135,0.006289308176100629,0.0013932427725531174,7834.151663938897,0.5,ToN-IoT-Network,0,temperature
0.0013912899193058751,0.002079496511681229,0.01259057613731987,0.006289308176100629,0.0013932427725531174,7834.151663938897,0.23500000000000001,ToN-IoT-Network,0,isotonic
0.0013128657384216887,0.0019567736110707615,0.008528189983386423,0.006289308176100629,0.0013932427725531174,7834.151663938897,0.365,ToN-IoT-Network,0,platt
0.0012685404744952268,0.0019522669689560248,0.008488233011925302,0.0440251572327044,0.00017415534656913968,7925.531914893617,0.020992672070860863,ToN-IoT-Network,0,conformal_fpr_control_alpha05
0.002842657009829055,0.004024779486086247,0.01738285415161293,0.12,0.0023405260024226496,9752.710975951342,0.165,CICIoT2023,0,uncalibrated
0.0028091568814723094,0.004001772136815918,0.01667842181216204,0.1207843137254902,0.0023405260024226496,9752.911047977272,0.18000000000000002,CICIoT2023,0,temperature
0.0013309397926362537,0.0037826259709829954,0.01314936030637085,0.12,0.0023405260024226496,9752.710975951342,0.365,CICIoT2023,0,isotonic
0.0021455536460265497,0.003885705612677248,0.013653859820430894,0.1207843137254902,0.0023405260024226496,9752.911047977272,0.495,CICIoT2023,0,platt
0.002842657009829055,0.004024779486086247,0.01738285415161293,0.04470588235294118,0.003941938530396042,9717.898443439639,0.48542535305023193,CICIoT2023,0,conformal_fpr_control_alpha05
