dataset,model,seed,n_classes_train,macro_f1,weighted_f1,balanced_accuracy
UNSW-NB15,HistGradientBoosting,0,10,0.493472752529894,0.7988574024147819,0.5066092945921394
UNSW-NB15,HistGradientBoosting,1,10,0.49734805896928574,0.8005904734286144,0.5038180621790528
UNSW-NB15,HistGradientBoosting,2,10,0.5140294985265175,0.8016456193483814,0.5190804102139877
ToN-IoT-Network,HistGradientBoosting,0,10,0.936836923805755,0.9795755612446572,0.945121994070895
ToN-IoT-Network,HistGradientBoosting,1,10,0.9411653374197353,0.9834762202868493,0.9415362457725175
ToN-IoT-Network,HistGradientBoosting,2,10,0.9646331794651297,0.9893663402324364,0.9652079770923141
CICIoT2023,HistGradientBoosting,0,34,0.4104168341563514,0.9306342988879872,0.4236800785645169
CICIoT2023,HistGradientBoosting,1,34,0.1043294058753355,0.23890639693400742,0.10375452303466397
CICIoT2023,HistGradientBoosting,2,34,0.4174087662681596,0.9208754995201208,0.42235628310446444
