dataset,model,macro_f1,winner,diff,outcome
CICIoT2023,1D-CNN,0.6986414076105648,0.4651761767635844,-0.2334652308469804,loss
CICIoT2023,A2C,0.49390368204033946,0.4651761767635844,-0.02872750527675505,loss
CICIoT2023,CNN-BiLSTM,0.8072778512052815,0.4651761767635844,-0.3421016744416971,loss
CICIoT2023,CNN-LSTM,0.8298822548890942,0.4651761767635844,-0.36470607812550976,loss
CICIoT2023,CQL_Offline,0.4869395450763691,0.4651761767635844,-0.021763368312784692,loss
CICIoT2023,CatBoost,0.957241876163906,0.4651761767635844,-0.4920656994003216,loss
CICIoT2023,DQN,0.5615053102199997,0.4651761767635844,-0.0963291334564153,loss
CICIoT2023,DecisionTree,0.9163578329288061,0.4651761767635844,-0.4511816561652217,loss
CICIoT2023,DoubleDQN,0.5454577940441478,0.4651761767635844,-0.08028161728056343,loss
CICIoT2023,DuelingDQN,0.6225251619951587,0.4651761767635844,-0.1573489852315743,loss
CICIoT2023,ExtraTrees,0.9044197461978207,0.4651761767635844,-0.4392435694342363,loss
CICIoT2023,FT-Transformer,0.8328131746238853,0.4651761767635844,-0.36763699786030085,loss
CICIoT2023,GAT,0.8150576173537444,0.4651761767635844,-0.34988144059015996,loss
CICIoT2023,GCN,0.8407472658703767,0.4651761767635844,-0.3755710891067923,loss
CICIoT2023,GRU,0.782183980368187,0.4651761767635844,-0.3170078036046026,loss
CICIoT2023,GaussianNB,0.7424291642735185,0.4651761767635844,-0.27725298750993405,loss
CICIoT2023,GradientBoosting,0.9598754770947027,0.4651761767635844,-0.49469930033111825,loss
CICIoT2023,GraphSAGE,0.805911103830768,0.4651761767635844,-0.3407349270671836,loss
CICIoT2023,GreedyCentrality,0.46154130486516265,0.4651761767635844,0.0036348718984217654,tie
CICIoT2023,GreedyUncertainty,0.46154130486516265,0.4651761767635844,0.0036348718984217654,tie
CICIoT2023,HistGradientBoosting,0.9536121540900154,0.4651761767635844,-0.488435977326431,loss
CICIoT2023,HypergraphNN,0.7940389669694037,0.4651761767635844,-0.32886279020581927,loss
CICIoT2023,LSTM,0.8005508241430567,0.4651761767635844,-0.33537464737947226,loss
CICIoT2023,LightGBM,0.9547531416966879,0.4651761767635844,-0.4895769649331035,loss
CICIoT2023,LinearSVM,0.8302261838286596,0.4651761767635844,-0.36505000706507523,loss
CICIoT2023,LogisticRegression,0.5025655551210446,0.4651761767635844,-0.0373893783574602,loss
