dataset,seed,model,n_params,inference_latency_sec_per_sample,train_time_sec,model_size_kb,row_cap,post_determinism_fix,peak_memory_MB
UNSW-NB15,4,Full9ExpertEnsemble+MoERouter,,6.783960660298666e-05,239.4907820224762,,100000,True,963.640344
UNSW-NB15,4,FullAegisGraphX_backbone+RL,9875.0,6.783960660298666e-05,253.57104516029358,,100000,True,
UNSW-NB15,4,DistilledStudent,8082.0,5.558331807454427e-08,11.28498649597168,31.5703125,100000,True,
ToN-IoT-Network,4,BestSingleTreeExpert,,3.217520548437873e-06,,,100000,True,
ToN-IoT-Network,4,Full9ExpertEnsemble+MoERouter,,7.27906410685778e-05,219.04202723503113,,100000,True,943.277252
ToN-IoT-Network,4,FullAegisGraphX_backbone+RL,9747.0,7.27906410685778e-05,232.73139119148254,,100000,True,
ToN-IoT-Network,4,DistilledStudent,7954.0,3.756439082758312e-08,11.899526357650757,31.0703125,100000,True,
CICIoT2023,4,BestSingleTreeExpert,,9.457268713281884e-07,,,100000,True,
CICIoT2023,4,Full9ExpertEnsemble+MoERouter,,4.398331617998283e-05,397.3317058086395,,100000,True,4130.01035
CICIoT2023,4,FullAegisGraphX_backbone+RL,10131.0,4.398331617998283e-05,410.7872166633606,,100000,True,
CICIoT2023,4,DistilledStudent,8338.0,5.049610899748603e-08,17.36071491241455,32.5703125,100000,True,
UNSW-NB15,5,BestSingleTreeExpert,,1.7090161641438802e-06,,,100000,True,
UNSW-NB15,5,Full9ExpertEnsemble+MoERouter,,8.709390958150228e-05,288.3812608718872,,100000,True,963.69328
UNSW-NB15,5,FullAegisGraphX_backbone+RL,9875.0,8.709390958150228e-05,303.23625469207764,,100000,True,
UNSW-NB15,5,DistilledStudent,8082.0,4.8430760701497396e-08,12.607001781463623,31.5703125,100000,True,
ToN-IoT-Network,5,BestSingleTreeExpert,,4.886732436782185e-06,,,100000,True,
ToN-IoT-Network,5,Full9ExpertEnsemble+MoERouter,,8.29663893929681e-05,258.25992941856384,,100000,True,951.772522
ToN-IoT-Network,5,FullAegisGraphX_backbone+RL,9747.0,8.29663893929681e-05,271.9454810619354,,100000,True,
ToN-IoT-Network,5,DistilledStudent,7954.0,6.280097587778455e-08,11.959094762802124,31.0703125,100000,True,
CICIoT2023,5,BestSingleTreeExpert,,8.432869485775345e-07,,,100000,True,
CICIoT2023,5,Full9ExpertEnsemble+MoERouter,,4.6453710376165204e-05,435.2600750923157,,100000,True,4130.011475
CICIoT2023,5,FullAegisGraphX_backbone+RL,10131.0,4.6453710376165204e-05,449.3432276248932,,100000,True,
CICIoT2023,5,DistilledStudent,8338.0,5.4888245456033596e-08,16.360867023468018,32.5703125,100000,True,
UNSW-NB15,6,BestSingleTreeExpert,,1.3565365473429362e-05,,,100000,True,
UNSW-NB15,6,Full9ExpertEnsemble+MoERouter,,0.00014562133153279622,666.3669891357422,,100000,True,964.427087
UNSW-NB15,6,FullAegisGraphX_backbone+RL,9875.0,0.00014562133153279622,686.1150290966034,,100000,True,
UNSW-NB15,6,DistilledStudent,8082.0,6.539026896158854e-08,25.848925828933716,31.5703125,100000,True,
ToN-IoT-Network,6,BestSingleTreeExpert,,7.540095084831053e-05,,,100000,True,
ToN-IoT-Network,6,Full9ExpertEnsemble+MoERouter,,0.00023332679552639298,790.0683825016022,,100000,True,945.669825
ToN-IoT-Network,6,FullAegisGraphX_backbone+RL,9747.0,0.00023332679552639298,810.3674032688141,,100000,True,
ToN-IoT-Network,6,DistilledStudent,7954.0,6.009022232956895e-08,28.391691207885742,31.0703125,100000,True,
CICIoT2023,6,BestSingleTreeExpert,,3.242953701568509e-07,,,100000,True,
CICIoT2023,6,Full9ExpertEnsemble+MoERouter,,6.405808945124421e-05,819.0021286010742,,100000,True,4130.0099
CICIoT2023,6,FullAegisGraphX_backbone+RL,10131.0,6.405808945124421e-05,852.0163793563843,,100000,True,
CICIoT2023,6,DistilledStudent,8338.0,6.939488053459048e-08,41.600964069366455,32.5703125,100000,True,
UNSW-NB15,7,BestSingleTreeExpert,,4.5933723449707033e-07,,,100000,True,
UNSW-NB15,7,Full9ExpertEnsemble+MoERouter,,0.00020338053703308106,980.4619553089142,,100000,True,964.020454
UNSW-NB15,7,FullAegisGraphX_backbone+RL,9875.0,0.00020338053703308106,1002.8368146419525,,100000,True,
UNSW-NB15,7,DistilledStudent,8082.0,2.4099349975585936e-07,34.90775275230408,31.5703125,100000,True,
ToN-IoT-Network,7,BestSingleTreeExpert,,4.23501336700973e-05,,,100000,True,
ToN-IoT-Network,7,Full9ExpertEnsemble+MoERouter,,0.00014009250887966182,572.5405766963959,,100000,True,962.723014
ToN-IoT-Network,7,FullAegisGraphX_backbone+RL,9747.0,0.00014009250887966182,606.8820624351501,,100000,True,
ToN-IoT-Network,7,DistilledStudent,7954.0,6.599390735664489e-08,29.566441535949707,31.0703125,100000,True,
CICIoT2023,7,BestSingleTreeExpert,,7.43885439862881e-07,,,100000,True,
CICIoT2023,7,Full9ExpertEnsemble+MoERouter,,8.015811275683895e-05,1264.2402081489563,,100000,True,4130.009976
CICIoT2023,7,FullAegisGraphX_backbone+RL,10131.0,8.015811275683895e-05,1288.2511866092682,,100000,True,
CICIoT2023,7,DistilledStudent,8338.0,6.601273919852886e-08,47.748483657836914,32.5703125,100000,True,
UNSW-NB15,8,BestSingleTreeExpert,,1.4415391286214193e-05,,,100000,True,
UNSW-NB15,8,Full9ExpertEnsemble+MoERouter,,0.00024132553736368816,789.2716615200043,,100000,True,964.047452
UNSW-NB15,8,FullAegisGraphX_backbone+RL,9875.0,0.00024132553736368816,813.7841291427612,,100000,True,
UNSW-NB15,8,DistilledStudent,8082.0,1.39617919921875e-07,36.05824637413025,31.5703125,100000,True,
ToN-IoT-Network,8,BestSingleTreeExpert,,0.00021275593923003881,,,100000,True,
ToN-IoT-Network,8,Full9ExpertEnsemble+MoERouter,,0.0006127988008766557,678.9362580776215,,100000,True,952.170335
ToN-IoT-Network,8,FullAegisGraphX_backbone+RL,9747.0,0.0006127988008766557,700.7746651172638,,100000,True,
ToN-IoT-Network,8,DistilledStudent,7954.0,1.0343030873955013e-07,58.77613615989685,31.0703125,100000,True,
CICIoT2023,8,BestSingleTreeExpert,,3.3312262331134602e-06,,,100000,True,
CICIoT2023,8,Full9ExpertEnsemble+MoERouter,,0.00010451579487192993,1393.6721556186676,,100000,True,4130.013725
