accuracy,balanced_accuracy,macro_f1,weighted_f1,attack_recall,minority_recall,precision_attack,fpr,fnr,roc_auc,pr_auc,model,family,perturbation,dataset,seed
0.8422,0.8056253257893131,0.8194456363168283,0.8371619915901485,0.9379504857411469,0.6733001658374793,0.8351004464285714,0.32669983416252074,0.06204951425885302,0.8909744217000892,0.9211009452831236,HistGradientBoosting,classical_tree,feature_noise_low,UNSW-NB15,42
0.39153333333333334,0.5191848076492545,0.32292075581341434,0.26334635866208783,0.05734879348166719,0.9810208218168417,0.8420245398773006,0.018979178183158283,0.9426512065183328,0.5629066405459693,0.7064506264211764,MLP,deep,feature_noise_low,UNSW-NB15,42
0.76,0.6968547584396575,0.708278637378591,0.7422299941595222,0.9253107698736028,0.46839874700571216,0.7543217235800052,0.5316012529942878,0.07468923012639715,0.7765157059970988,0.8244730182558924,HistGradientBoosting,classical_tree,feature_noise_high,UNSW-NB15,42
0.37633333333333335,0.5052812299102004,0.3017287653179722,0.23864278959052226,0.038754831296354326,0.9718076285240465,0.7080152671755725,0.028192371475953566,0.9612451687036456,0.5223489568033951,0.6651196361836671,MLP,deep,feature_noise_high,UNSW-NB15,42
0.8637333333333334,0.8246104805660521,0.8421916002325558,0.8583070865977351,0.966154810404262,0.6830661507278423,0.8431944571063907,0.31693384927215773,0.03384518959573801,0.9324599306934573,0.958983862272131,HistGradientBoosting,classical_tree,missing_features_20pct,UNSW-NB15,42
0.8220666666666666,0.8270002806977913,0.8137976945508174,0.8246433631342756,0.8091507364462551,0.8448498249493275,0.9019562179785747,0.15515017505067255,0.1908492635537449,0.919943413496488,0.9451674420216158,MLP,deep,missing_features_20pct,UNSW-NB15,42
0.7642,0.6781195234408641,0.6860738396813092,0.7293600966212119,0.9895539538284759,0.36668509305325225,0.7337722695584818,0.6333149069467477,0.010446046171524078,0.8155614078051925,0.8862400673586854,HistGradientBoosting,classical_tree,missing_features_50pct,UNSW-NB15,42
0.7280666666666666,0.7302924713918943,0.7174547062022827,0.7325896178243453,0.7222396322991748,0.7383453104846139,0.8296136309095272,0.261654689515386,0.27776036770082524,0.8266309830345393,0.8803767288183493,MLP,deep,missing_features_50pct,UNSW-NB15,42
0.8978,0.89037883321831,0.8905080080357362,0.8977830462599644,0.9192026296257024,0.8615550368109176,0.9183262711864407,0.13844496318908242,0.08079737037429753,0.9348033754496918,0.9439292700762746,HistGradientBoosting,classical_tree,label_noise_5pct,UNSW-NB15,42
0.8713333333333333,0.8729342999695799,0.8648804537866042,0.8724829616601453,0.8667161488707454,0.8791524510684144,0.9239290154854753,0.12084754893158556,0.1332838511292546,0.9251240245874627,0.9370564609324102,MLP,deep,label_noise_5pct,UNSW-NB15,42
0.9454512989911615,0.9397939754802807,0.8998993041683276,0.9477964188940312,0.9477697691423796,0.9318181818181818,0.987913763066202,0.06818181818181818,0.052230230857620394,0.9902198571894593,0.9983018419478746,HistGradientBoosting,classical_tree,class_imbalance_stress,UNSW-NB15,42
0.8965270957950183,0.9213676120210122,0.8324156375886742,0.9059383765392234,0.8863470176538181,0.9563882063882064,0.9917017297802712,0.04361179361179361,0.11365298234618197,0.9802911726289979,0.9961729885105222,MLP,deep,class_imbalance_stress,UNSW-NB15,42
0.9422,0.9400724651866311,0.9377440902590344,0.9423476790420007,0.9477697691423796,0.9323751612308826,0.9611228813559322,0.06762483876911737,0.052230230857620394,0.9901313928594739,0.9945869159930961,HistGradientBoosting,classical_tree,clean_baseline,UNSW-NB15,42
0.9158,0.9245765150361567,0.9113603557780563,0.9168434552550233,0.8928235662801629,0.9563294637921503,0.9730191256830601,0.04367053620784964,0.10717643371983704,0.9811659635363116,0.9892584958313728,MLP,deep,clean_baseline,UNSW-NB15,42
0.5727492709561333,0.6340143145873396,0.569209311174995,0.5844570640173655,0.4771084337349398,0.7909201954397395,0.8388514043621529,0.2090798045602606,0.5228915662650603,0.7370936878167756,0.835580858733733,HistGradientBoosting,classical_tree,feature_noise_low,ToN-IoT-Network,42
0.6983309548923496,0.5058327682790518,0.4234062064597698,0.5788650474954626,0.9988398036590808,0.012825732899022802,0.6977121127111776,0.9871742671009772,0.0011601963409192326,0.505934777837372,0.6977528986306752,MLP,deep,feature_noise_low,ToN-IoT-Network,42
0.5071042998076565,0.5926344447642179,0.5070291446162194,0.5094057859213131,0.37358322177599285,0.811685667752443,0.8190178047348855,0.188314332247557,0.6264167782240071,0.6930302643799955,0.808623491448514,HistGradientBoosting,classical_tree,feature_noise_high,ToN-IoT-Network,42
0.6927467891046721,0.5030172445118876,0.42508811176882794,0.5782549805943682,0.988933511825078,0.01710097719869707,0.6965239801370293,0.9828990228013029,0.01106648817492191,0.5030172445118876,0.6965096452769826,MLP,deep,feature_noise_high,ToN-IoT-Network,42
0.9011602655581064,0.8423052415961347,0.8716311687916632,0.8956708332096743,0.9930388219544846,0.691571661237785,0.8801613668723304,0.308428338762215,0.0069611780455153946,0.9647554477773562,0.9804023484413238,HistGradientBoosting,classical_tree,missing_features_20pct,ToN-IoT-Network,42
0.7803561456846808,0.7214662395510381,0.7298095733203978,0.7754399821410021,0.8722891566265061,0.57064332247557,0.8225195657662207,0.42935667752442996,0.12771084337349398,0.7576473374496903,0.822386228260809,MLP,deep,missing_features_20pct,ToN-IoT-Network,42
0.7909040143947385,0.6721693869215553,0.6920653614852373,0.7601840388217274,0.976260597947345,0.36807817589576547,0.7789646087018444,0.6319218241042345,0.023739402052655064,0.8429155456425775,0.9091348014431726,HistGradientBoosting,classical_tree,missing_features_50pct,ToN-IoT-Network,42
0.6899547062108333,0.6266086150610404,0.628435855863192,0.6874688118311253,0.7888442659526997,0.4643729641693811,0.770619006102877,0.5356270358306189,0.21115573404730031,0.6490095924777648,0.7590338031170589,MLP,deep,missing_features_50pct,ToN-IoT-Network,42
0.9489979524725445,0.9335720302576027,0.9408714290748718,0.9485409630396378,0.9776613348041919,0.8894827257110135,0.9483681112894596,0.11051727428898644,0.022338665195808054,0.9330211777039144,0.9422162488746888,HistGradientBoosting,classical_tree,label_noise_5pct,ToN-IoT-Network,42
0.8504064031767699,0.7819209518075169,0.8081495127816756,0.8396522368612548,0.9776613348041919,0.5861805688108418,0.8306646879637585,0.41381943118915826,0.022338665195808054,0.9057580735177333,0.9288435364322767,MLP,deep,label_noise_5pct,ToN-IoT-Network,42
0.9991323552610822,0.9980350458180312,0.9978882581821743,0.9991324831099241,0.9994645247657296,0.9966055668703326,0.9995537308104249,0.0033944331296673455,0.000535475234270415,0.9998315052470574,0.9999786781846076,HistGradientBoosting,classical_tree,class_imbalance_stress,ToN-IoT-Network,42
0.9555134879318504,0.8230001699488609,0.8739629926278563,0.9517870189367865,0.9956269522534583,0.6503733876442634,0.9558735326878588,0.3496266123557366,0.004373047746541722,0.9572729175735907,0.9924991115448902,MLP,deep,class_imbalance_stress,ToN-IoT-Network,42
