dataset,model,macro_f1,minority_recall,pr_auc,fpr,fnr,roc_auc,train_time_sec,inference_latency_sec_per_sample
CICIoT2023,OracleUpperBound,1.0,1.0,0.9985237815470565,0.0,0.0,0.9736183571365572,,
CICIoT2023,GradientBoosting,0.9598754770947027,0.9375592432449524,0.9999871752683983,0.06244075675504753,0.0023896559683102667,0.9994783970639224,36.92389456431071,2.59660929064077e-06
CICIoT2023,CatBoost,0.957241876163906,0.9350592956137419,0.9999850926201302,0.064940704386258,0.0026016426181624335,0.9993938575071809,2.850480874379476,1.295220254140537e-07
CICIoT2023,XGBoost,0.9563337860176446,0.927373382781251,0.9999845933842141,0.072626617218749,0.0024717232427428,0.9993734483114364,0.5266555150349935,1.4684152502179022e-07
CICIoT2023,LightGBM,0.9547531416966879,0.9699595654731894,0.9999196001826842,0.0300404345268105,0.0038904795765559667,0.9988928141940857,0.646068255106608,2.566785353863647e-07
CICIoT2023,HistGradientBoosting,0.9536121540900154,0.9205191253007082,0.9999828721805324,0.07948087469929173,0.0025640046802205,0.9993035249195747,1.5401690006256106,5.17544515587928e-07
CICIoT2023,RandomForest,0.9394439081089759,0.9780975312656514,0.9999754268828691,0.021902468734348566,0.005914227593892134,0.9989978443545153,1.8668643633524578,2.0370239808316948e-06
CICIoT2023,DecisionTree,0.9163578329288061,0.9868282099591051,0.9995543516555222,0.013171790040894901,0.009175932797366301,0.9907260928361619,0.377266804377238,8.812870410209577e-08
CICIoT2023,ExtraTrees,0.9044197461978207,0.9943152136640797,0.9999675004828754,0.005684786335920101,0.011042307844234734,0.9986737427582941,1.2071665128072102,1.840821725961658e-06
CICIoT2023,kNN,0.8670032250460563,0.7843983656710533,0.9994042717622534,0.21560163432894677,0.008228726790285067,0.9857308048095814,0.014495770136515268,2.8439463501481824e-05
CICIoT2023,TransformerEncoder,0.8579006895600286,0.9236990670010025,0.9998297022541195,0.07630093299899757,0.015451175589897633,0.9931018034714313,46.88529880841573,1.3458028171367561e-05
CICIoT2023,GCN,0.8407472658703767,0.8729174745925543,0.9963357186375553,0.12708252540744566,0.016122373873515266,0.9260976126289947,5.937302668889363,5.190270695388907e-06
CICIoT2023,FT-Transformer,0.8328131746238853,0.9722828409192287,0.9998073848753122,0.027717159080771336,0.022214505666841602,0.99214920090312,74.0788950920105,1.4969386056781077e-05
CICIoT2023,LinearSVM,0.8302261838286596,0.5923834439532599,0.9995646212788759,0.40761655604674,0.004492147405839267,0.9899884122241653,14.123964309692383,5.104073643741073e-07
CICIoT2023,Protocol-role-GAT,0.8302238835952086,0.867403219960274,0.9954702127424042,0.13259678003972597,0.017739659547102934,0.9190280433199657,12.163396835327148,9.475973039372338e-06
CICIoT2023,CNN-LSTM,0.8298822548890942,0.795249617002201,0.9996544383102997,0.20475038299779902,0.014459205637574668,0.9870495226346825,46.989436864852905,1.151165587433407e-05
CICIoT2023,MLP,0.8180759072643334,0.6631061025509534,0.9882895331037292,0.3368938974490467,0.009561813333173666,0.8061160623059768,9.050902605056763,6.365332804080264e-06
CICIoT2023,GAT,0.8150576173537444,0.8665993801730741,0.9949300090434372,0.13340061982692586,0.021546210952813668,0.9083706880789505,9.313092311223349,7.883125882529671e-06
CICIoT2023,CNN-BiLSTM,0.8072778512052815,0.9025507473538331,0.9996568218675496,0.09744925264616683,0.026429363755775166,0.9871311898128412,87.83493296305339,1.9900321750158047e-05
CICIoT2023,GraphSAGE,0.805911103830768,0.6718087329422322,0.9891605387568286,0.32819126705776774,0.0111610857277454,0.7912211440400796,5.739895184834798,4.611106483734886e-06
CICIoT2023,LSTM,0.8005508241430567,0.778725061829559,0.9996751889858587,0.22127493817044097,0.0191502883982862,0.9869451948838819,41.76492484410604,1.2096170702251089e-05
CICIoT2023,HypergraphNN,0.7940389669694037,0.829919364345491,0.9935685939131019,0.170080635654509,0.025814541235161702,0.8797175027230978,7.331694920857747,5.6195088033190045e-06
