accuracy,balanced_accuracy,macro_f1,weighted_f1,precision_attack,recall_attack,minority_recall,fpr,fnr,roc_auc,pr_auc,threshold,tn,fp,fn,tp,dataset,seed,model,perturbation
0.7622666666666666,0.6890649342330755,0.7000859540535493,0.7378131682656661,0.744982868330886,0.9540325950689511,0.9540325950689511,0.5759027266028003,0.045967404931048894,0.7949535244807919,0.8314735151845505,0.48000000000000004,1151,1563,220,4566,UNSW-NB15,0,AegisGraphX,feature_noise_low
0.7322666666666666,0.6519201638529967,0.6559678296568341,0.7007275098052975,0.7223823246878002,0.9427496865858754,0.9427496865858754,0.6389093588798821,0.05725031341412453,0.6617483642569629,0.7305503894699221,0.48000000000000004,980,1734,274,4512,UNSW-NB15,0,AegisGraphX,feature_noise_high
0.876,0.8379181665019657,0.8564138246210663,0.8710645666373662,0.8515681983953318,0.975762641036356,0.975762641036356,0.2999263080324245,0.02423735896364396,0.9591645492672223,0.97569570623911,0.48000000000000004,1900,814,116,4670,UNSW-NB15,0,AegisGraphX,missing_features_20pct
0.7644,0.676619213925657,0.6838905847576942,0.7279633742906024,0.7322665025388522,0.9943585457584622,0.9943585457584622,0.6411201179071481,0.005641454241537819,0.8169907871182869,0.8647821689255988,0.48000000000000004,974,1740,27,4759,UNSW-NB15,0,AegisGraphX,missing_features_50pct
0.8984,0.890712590684728,0.8918781597969284,0.8982442122861372,0.9141274238227147,0.9227790922779092,0.9227790922779092,0.14135391090845317,0.07722090772209077,0.935749487769968,0.9415134409435558,0.48000000000000004,2448,403,359,4290,UNSW-NB15,0,AegisGraphX,label_noise_5pct
0.9451785714285714,0.9414187674739284,0.8997822105146018,0.94762363942155,0.9886537202705651,0.9467195988299206,0.9467195988299206,0.06388206388206388,0.0532804011700794,0.9898000515426341,0.9982432138910634,0.48000000000000004,762,52,255,4531,UNSW-NB15,0,AegisGraphX,class_imbalance_stress
0.9444,0.9435145525468689,0.9402391111982276,0.9445955344409119,0.9654805028766248,0.9467195988299206,0.9467195988299206,0.05969049373618276,0.0532804011700794,0.9903335878010692,0.9947047271353585,0.48000000000000004,2552,162,255,4531,UNSW-NB15,0,AegisGraphX,clean_baseline
0.8444,0.7961439333862015,0.815714801595534,0.8357624495510715,0.8186784140969163,0.9711538461538461,0.9711538461538461,0.3788659793814433,0.028846153846153848,0.8867208087463858,0.9099996952001981,0.42500000000000004,1687,1029,138,4646,UNSW-NB15,1,AegisGraphX,feature_noise_low
0.7529333333333333,0.6792456199112407,0.6885973805342699,0.7276254680638866,0.739265306122449,0.9464882943143813,0.9464882943143813,0.5879970544918999,0.05351170568561873,0.771897365297186,0.8182402468275829,0.42500000000000004,1119,1597,256,4528,UNSW-NB15,1,AegisGraphX,feature_noise_high
0.8598666666666667,0.8132811691893942,0.8342389783746058,0.8522105142810086,0.8294792586054722,0.982232441471572,0.982232441471572,0.3556701030927835,0.017767558528428092,0.961105778466267,0.9784302852857863,0.42500000000000004,1750,966,85,4699,UNSW-NB15,1,AegisGraphX,missing_features_20pct
0.7605333333333333,0.6717540919412277,0.6775937261606051,0.7226828711745908,0.7291411042944785,0.9937290969899666,0.9937290969899666,0.6502209131075111,0.006270903010033445,0.8807533303205088,0.9295148845040307,0.42500000000000004,950,1766,30,4754,UNSW-NB15,1,AegisGraphX,missing_features_50pct
0.8968,0.8823450419736194,0.8881112680915695,0.8959186549451735,0.8994082840236687,0.9400725101300917,0.9400725101300917,0.17538242618285307,0.0599274898699083,0.936307823687811,0.9409332584077389,0.42500000000000004,2318,493,281,4408,UNSW-NB15,1,AegisGraphX,label_noise_5pct
0.95837799214005,0.9394567682611161,0.9199351198575554,0.9592798486437126,0.9848710845940762,0.9661371237458194,0.9661371237458194,0.08722358722358722,0.0338628762541806,0.9917718151413804,0.9985717404931586,0.42500000000000004,743,71,162,4622,UNSW-NB15,1,AegisGraphX,class_imbalance_stress
0.9414666666666667,0.931994873683018,0.9360378741262274,0.9411759715969955,0.9432768822689247,0.9663461538461539,0.9663461538461539,0.10235640648011782,0.03365384615384615,0.9905889507735653,0.9948088046990726,0.42500000000000004,2438,278,161,4623,UNSW-NB15,1,AegisGraphX,clean_baseline
0.4774959083469722,0.5818171960332013,0.466234179580309,0.5101390601804833,0.8598870056497175,0.39759665621734586,0.39759665621734586,0.2339622641509434,0.6024033437826541,0.6181385531743372,0.8294050805350719,0.5,1218,372,3459,2283,ToN-IoT-Network,0,AegisGraphX,feature_noise_low
