accuracy,balanced_accuracy,macro_f1,weighted_f1,attack_recall,minority_recall,precision_attack,fpr,fnr,roc_auc,pr_auc,cumulative_reward,cumulative_reward_per_window,avg_detection_delay,telemetry_cost,escalation_rate,isolation_rate,abstention_rate,budget_violation_rate,ablation,dataset,seed,model
0.8511203319502074,0.8017466483803082,0.821509539984284,0.8439167285257347,0.9619385942654148,0.6415547024952015,0.8353900396650507,0.3584452975047985,0.03806140573458513,0.9376465656338868,0.9563431674718488,2390.0682234812507,8.475419232203016,0.0,0.0,0.0,0.0,0.33055555555555555,0.0,full_method,UNSW-NB15,0,C3_OfflineSafeGraphRL
0.815975069706413,0.7433779587413776,0.765303051511758,0.7989472683222578,0.9786914013537228,0.5080645161290323,0.7901234567901234,0.49193548387096775,0.021308598646277262,0.9364303185753231,0.9556447805150284,2100.9315513816427,7.450111884332067,0.0,0.0,0.0,0.0,0.32255555555555554,0.0,no_graph_encoder,UNSW-NB15,0,C3_OfflineSafeGraphRL
0.811,0.7773472088544107,0.7868214433871821,0.8067003490549953,0.8988861816916116,0.6558082360172096,0.8217979315831344,0.3441917639827904,0.10111381830838845,0.8761955084438098,0.9186916078002386,3841.6999999999975,27.246099290780123,0.0,0.0,0.0,0.0,0.0,0.0,no_rl_policy,UNSW-NB15,0,C3_OfflineSafeGraphRL
0.7941209851322211,0.7202444912625808,0.7371153381319122,0.7713076114118927,0.9847409510290986,0.45574803149606297,0.7625721352019785,0.544251968503937,0.015259048970901348,0.8694292037129142,0.9126209603700828,2687.1613032202727,9.52894079156125,0.0,0.0,0.0,0.0,0.021,0.0,full_method,UNSW-NB15,1,C3_OfflineSafeGraphRL
0.7957568807339449,0.722525590447185,0.7398281738704717,0.7737201678886536,0.9831692032229186,0.46188197767145134,0.7649763165227083,0.5381180223285487,0.016830796777081467,0.871165730718103,0.9138185441805611,2683.3865901765394,9.515555284313969,0.0,0.0,0.0,0.0,0.03111111111111111,0.0,no_graph_encoder,UNSW-NB15,1,C3_OfflineSafeGraphRL
0.7993333333333333,0.7577435797557435,0.7694970156571286,0.7923672258091793,0.908552516983104,0.6069346425283829,0.8028320763429275,0.3930653574716171,0.09144748301689601,0.8658034275829842,0.9101099689011948,3787.6999999999944,26.863120567375848,0.0,0.0,0.0,0.0,0.0,0.0,no_rl_policy,UNSW-NB15,1,C3_OfflineSafeGraphRL
0.6563137941090696,0.5,0.396249669865305,0.5201282484875293,1.0,0.0,0.6563137941090696,1.0,0.0,0.9187576475015169,0.9467430637876566,663.717638570146,2.3536086474118654,0.0,0.0,0.0,0.0,0.238,0.0,full_method,UNSW-NB15,2,C3_OfflineSafeGraphRL
0.6486556027273896,0.5,0.39344518142801405,0.5104208425987513,1.0,0.0,0.6486556027273896,1.0,0.0,0.898808594405311,0.9343896582215045,625.5262930962209,2.21817834431284,0.0,0.0,0.0,0.0,0.13633333333333333,0.0,no_graph_encoder,UNSW-NB15,2,C3_OfflineSafeGraphRL
0.8066666666666666,0.7720814933653841,0.7813212730665561,0.802332141129311,0.894627383015598,0.6495356037151703,0.8201461709564665,0.3504643962848297,0.10537261698440208,0.872808430496161,0.9179525312267464,3727.9999999999977,26.43971631205672,0.0,0.0,0.0,0.0,0.0,0.0,no_rl_policy,UNSW-NB15,2,C3_OfflineSafeGraphRL
0.7184596324592195,0.5,0.41808350856112947,0.6007522477961801,1.0,0.0,0.7184596324592195,1.0,0.0,0.9010025349902908,0.9591899791165965,2370.749333402287,7.824255225750122,0.0,0.0,0.0,0.0,0.0,0.0,full_method,ToN-IoT-Network,0,C3_OfflineSafeGraphRL
