dataset,ablation,macro_f1_mean,macro_f1_std,minority_recall_mean,minority_recall_std,pr_auc_mean,pr_auc_std,cumulative_reward_per_window_mean,cumulative_reward_per_window_std
CICIoT2023,full_method,0.5014611484315369,0.030074792517762114,0.03624733475479743,0.06278222543426633,0.9928958791646446,0.006144450654109739,7.379791205166174,5.833371375962061
CICIoT2023,no_graph_encoder,0.4729850777987387,0.01951056771627975,0.0,0.0,0.9927217155847122,0.006370406228851596,7.239164429146463,5.725187662441709
CICIoT2023,no_rl_policy,0.49674478552432483,0.02904635345716867,0.9701149060802274,0.01676259565868528,0.9982828705711486,0.0008871830111246572,7.44812169902125,14.27931180360805
ToN-IoT-Network,full_method,0.43013298523460153,0.017040533331122452,0.0,0.0,0.9633404606261731,0.005869667241221927,12.737066399917609,4.634317555171886
ToN-IoT-Network,no_graph_encoder,0.5798407476235455,0.2595812632811123,0.2717587576742506,0.4706999756936006,0.9628467648862714,0.0042376530311161835,-6.281083301509224,29.35269323420055
ToN-IoT-Network,no_rl_policy,0.7934017588383672,0.09438205013816896,0.6449364932628551,0.2175100939128018,0.9619841209555394,0.0047692209707394595,42.316200723431315,9.190368808650156
UNSW-NB15,full_method,0.6516248493271671,0.22515096500006035,0.36576757799708814,0.330106756341547,0.9385690638765295,0.02297865432031998,6.78598955705871,3.8745293024004215
UNSW-NB15,no_graph_encoder,0.6328588022700813,0.2077291595593683,0.3233154979334945,0.28094997796330956,0.9346176609723647,0.020914050311153908,6.394615170986292,3.7614468672344503
UNSW-NB15,no_rl_policy,0.7792132440369556,0.008852501840479358,0.6374261607535876,0.026592028725872702,0.9155847026427266,0.0047556377806632156,26.8496453900709,0.40336033815467764
