accuracy,balanced_accuracy,macro_f1,weighted_f1,precision_benign,recall_benign,f1_benign,precision_attack,recall_attack,f1_attack,minority_recall,fpr,fnr,roc_auc,pr_auc,threshold,threshold_key,tn,fp,fn,tp,dataset,seed,candidate,split,attack_recall,cumulative_reward,cumulative_reward_per_window,avg_detection_delay,telemetry_cost,escalation_rate,isolation_rate,abstention_rate,budget_violation_rate,calibration_violation_rate,commit_rate
0.9438741501133182,0.9429427587212296,0.9396705497860228,0.9440715919468731,0.908443177769861,0.9395725865880619,0.923745698243072,0.9650617809970174,0.9463129308543973,0.9555954013289737,0.9463129308543973,0.0604274134119381,0.05368706914560267,0.9902193040319374,0.9946099379994433,0.48500000000000004,temperature,2550.0,164.0,257.0,4530.0,UNSW-NB15,0,A_TreeGuidedGraphMoE,val,,,,,,,,,,,
0.9444,0.9439133452673467,0.9402841603291343,0.9446153029385979,0.9077032303869365,0.9421518054532056,0.924606761887543,0.9664744821695495,0.9456748850814877,0.9559615587707255,0.9456748850814877,0.0578481945467944,0.05432511491851233,0.9903335878010694,0.9947047271742372,0.48500000000000004,temperature,2557.0,157.0,260.0,4526.0,UNSW-NB15,0,A_TreeGuidedGraphMoE,test,,,,,,,,,,,
0.9437408345553926,0.943476552114938,0.9396045900650452,0.9439726159583158,,,,0.9666452854393842,,,0.9425202652910832,0.05747973470891673,0.05556716106120744,0.9902193040319373,0.9946099379994433,,,,,,,UNSW-NB15,0,B_BudgetedRLInvestigation,val,0.9444328389387926,9089.240000000009,77.02745762711872,0.0,0.0,0.0,0.0,0.0,0.0,0.03479536061858419,1.0
0.944,0.9443177580396767,0.9399488661735891,0.9442578750484985,,,,0.9682539682539683,,,0.9454679439941046,0.054532056005895356,0.056832427914751356,0.9903335878010692,0.9947047271353585,,,,,,,UNSW-NB15,0,B_BudgetedRLInvestigation,test,0.9431675720852486,9086.70000000001,77.00593220338992,0.0,0.0,0.0,0.0,0.0,0.0,0.0264,1.0
0.9486278220900365,0.9487800577886147,0.9447528602186788,0.9488454054518789,,,,0.9707981829980532,,,0.9493243243243243,0.05067567567567568,0.051764208747094864,0.9915620247333748,0.9953728849146537,,,,,,,UNSW-NB15,0,C_SafetyShieldedRL,val,0.9482357912529051,9090.14000000001,77.0350847457628,0.0,0.0,0.01386481802426343,0.0,0.0,0.0,0.020930542594320756,0.9861351819757366
0.9484758564877259,0.9488763025543278,0.9446719228198028,0.9487028401839601,,,,0.9712183510062757,,,0.9503175196115055,0.049682480388494585,0.052564914502849905,0.9914008013122676,0.9953059062224533,,,,,,,UNSW-NB15,0,C_SafetyShieldedRL,test,0.94743508549715,9104.100000000008,77.15338983050854,0.0,0.0,0.011466666666666667,0.0,0.0,0.0,0.014933333333333333,0.9885333333333334
0.9413411545127316,0.9316706605751228,0.9358805189799445,0.9410368157575922,0.9387283236994219,0.8965771071034229,0.9171686746987951,0.9427231960864247,0.9667642140468228,0.9545923632610939,0.9667642140468228,0.1034228928965771,0.033235785953177256,0.9896354305789263,0.9942919430652153,0.42000000000000004,temperature,2436.0,281.0,159.0,4625.0,UNSW-NB15,1,A_TreeGuidedGraphMoE,val,,,,,,,,,,,
0.9409333333333333,0.9311789174518892,0.9354221367939319,0.9406239416517511,0.9382954107211724,0.8958026509572902,0.9165567903559992,0.9423272875484002,0.9665551839464883,0.9542874832318646,0.9665551839464883,0.10419734904270987,0.033444816053511704,0.9905889507735652,0.9948088046990727,0.42000000000000004,temperature,2433.0,283.0,160.0,4624.0,UNSW-NB15,1,A_TreeGuidedGraphMoE,test,,,,,,,,,,,
0.9404079456072524,0.9359482765518234,0.9355671682533478,0.9404338447078812,,,,0.9543264194426985,,,0.9197644460802356,0.08023555391976445,0.04786789297658863,0.9896354305789264,0.994291943025259,,,,,,,UNSW-NB15,1,B_BudgetedRLInvestigation,val,0.9521321070234113,9156.670000000007,77.5988983050848,0.0,0.0,0.0,0.0,0.0,0.0,0.03706172510331956,0.9997333688841488
0.9426666666666667,0.9392222664157895,0.9381053963956882,0.9427383565726939,,,,0.9581228956228957,,,0.9267304860088366,0.07326951399116348,0.04828595317725753,0.9905889507735653,0.9948088046990726,,,,,,,UNSW-NB15,1,B_BudgetedRLInvestigation,test,0.9517140468227425,9178.130000000012,77.78076271186451,0.0,0.0,0.0,0.0,0.0,0.0,0.038266666666666664,0.9997333333333334
0.9612099145777903,0.9580008726451414,0.9577186260779169,0.9612218244313473,,,,0.9706074461136512,,,0.9468713105076741,0.053128689492325853,0.030869565217391304,0.9939738719778246,0.9967488272778889,,,,,,,UNSW-NB15,1,C_SafetyShieldedRL,val,0.9691304347826087,9236.070000000014,78.27177966101706,0.0,0.0,0.04799360085321957,0.0,0.0,0.0,0.0,0.9517397680309292
0.9638604846617174,0.9611934834575785,0.9605326494441844,0.9638861698346456,,,,0.9736842105263158,,,0.952079207920792,0.04792079207920792,0.029692241005635025,0.9948587810666631,0.9972305590976559,,,,,,,UNSW-NB15,1,C_SafetyShieldedRL,test,0.9703077589943649,9310.98000000001,78.90661016949161,0.0,0.0,0.048133333333333334,0.0,0.0,0.0,0.0,0.9516
0.9428076256499134,0.9383892633209711,0.9379235789215999,0.9428378027447176,0.9182994454713493,0.9227340267459139,0.9205113952195664,0.9566305254378649,0.9540444998960282,0.9553357626236335,0.9540444998960282,0.07726597325408618,0.045955500103971716,0.9895165454075244,0.9943135812778221,0.46,temperature,2484.0,208.0,221.0,4588.0,UNSW-NB15,2,A_TreeGuidedGraphMoE,val,,,,,,,,,,,
0.9426666666666667,0.9377082957329661,0.9377082957329661,0.9426666666666667,0.9201337295690936,0.9201337295690936,0.9201337295690936,0.9552828618968386,0.9552828618968386,0.9552828618968386,0.9552828618968386,0.07986627043090638,0.0447171381031614,0.9901971979588255,0.9946506196595146,0.46,temperature,2477.0,215.0,215.0,4593.0,UNSW-NB15,2,A_TreeGuidedGraphMoE,test,,,,,,,,,,,
0.9408078922810292,0.939119073727845,0.9361150613466853,0.9410017918375884,,,,0.9619047619047619,,,0.9331352154531947,0.06686478454680535,0.05489706799750468,0.9895165454075243,0.9943135812177695,,,,,,,UNSW-NB15,2,B_BudgetedRLInvestigation,val,0.9451029320024953,9093.840000000007,77.06644067796617,0.0,0.0,0.0,0.0,0.0,0.0,0.03586188508198907,1.0
0.9421333333333334,0.93966284523318,0.9374412418545806,0.9422749641374631,,,,0.9608091024020228,,,0.9309063893016345,0.06909361069836553,0.051580698835274545,0.9901971979588254,0.9946506196595146,,,,,,,UNSW-NB15,2,B_BudgetedRLInvestigation,test,0.9484193011647255,9167.050000000003,77.68686440677969,0.0,0.0,0.0,0.0,0.0,0.0,0.033466666666666665,1.0
0.953007261268667,0.9519659814792969,0.9490507444862957,0.9531531505305537,,,,0.971052063080579,,,0.9483622350674373,0.05163776493256262,0.04443027210884354,0.9920941305231149,0.9957556681037658,,,,,,,UNSW-NB15,2,C_SafetyShieldedRL,val,0.9555697278911565,9177.240000000009,77.77322033898312,0.0,0.0,0.026929742700973203,0.0,0.0,0.0,0.008932142381015865,0.9730702572990267
0.9514059514059514,0.9494174411190435,0.9472689330995424,0.9515188524903369,,,,0.9678180647929628,,,0.9425067075507857,0.05749329244921426,0.043671825312698746,0.99245814438743,0.9959210433112786,,,,,,,UNSW-NB15,2,C_SafetyShieldedRL,test,0.9563281746873012,9203.950000000012,77.99957627118654,0.0,0.0,0.0232,0.0,0.0,0.0,0.010266666666666667,0.9768
0.9987407303763817,0.9976210709891482,0.9980178882786394,0.9987402279374816,0.9978783592644979,0.9957657021877205,0.9968209113387495,0.998953427524856,0.9994764397905759,0.9992148652185292,0.9994764397905759,0.004234297812279464,0.0005235602094240838,0.9999437151221579,0.999985926779057,0.5,temperature,1411.0,6.0,3.0,5727.0,ToN-IoT-Network,0,A_TreeGuidedGraphMoE,val,,,,,,,,,,,
0.997545008183306,0.9961587245256731,0.9963844676097324,0.9975444494252061,0.9949622166246851,0.9937106918238994,0.9943360604153556,0.9982590529247911,0.9986067572274469,0.9984328748041094,0.9986067572274469,0.006289308176100629,0.0013932427725531174,0.9997797318226725,0.9999493600004092,0.5,temperature,1580.0,10.0,8.0,5734.0,ToN-IoT-Network,0,A_TreeGuidedGraphMoE,test,,,,,,,,,,,
0.9987133666904932,0.9973666783933117,0.9978266649005191,0.9987127713222369,,,,0.998953427524856,,,0.9952569169960475,0.0047430830039525695,0.0005235602094240838,0.9999369520380219,0.9999859267790568,,,,,,,ToN-IoT-Network,0,B_BudgetedRLInvestigation,val,0.9994764397905759,12313.68000000002,109.94357142857162,0.0,0.0,0.0,0.0,0.021267664754442424,0.0,0.0006995942353435008,0.9787323352455576
0.997428204029147,0.9953256538722755,0.995633634854284,0.9974274041320331,,,,0.9982590529247911,,,0.9920445505171042,0.007955449482895784,0.0013932427725531174,0.9997675157744288,0.9999558491200847,,,,,,,ToN-IoT-Network,0,B_BudgetedRLInvestigation,test,0.9986067572274469,12302.430000000017,106.97765217391319,0.0,0.0,0.0,0.0,0.04541734860883797,0.0,0.0004091653027823241,0.954582651391162
0.9987133666904932,0.9973666783933117,0.9978266649005191,0.9987127713222369,,,,0.998953427524856,,,0.9952569169960475,0.0047430830039525695,0.0005235602094240838,0.9999369520380219,0.9999859267790568,,,,,,,ToN-IoT-Network,0,C_SafetyShieldedRL,val,0.9994764397905759,12313.68000000002,109.94357142857162,0.0,0.0,0.0,0.0,0.021267664754442424,0.0,0.0006995942353435008,0.9787323352455576
0.997428204029147,0.9953256538722755,0.995633634854284,0.9974274041320331,,,,0.9982590529247911,,,0.9920445505171042,0.007955449482895784,0.0013932427725531174,0.9997675157744288,0.9999558491200847,,,,,,,ToN-IoT-Network,0,C_SafetyShieldedRL,test,0.9986067572274469,12302.430000000017,106.97765217391319,0.0,0.0,0.0,0.0,0.04541734860883797,0.0,0.0004091653027823241,0.954582651391162
0.9987467101140494,0.9984957589413642,0.9984957589413642,0.9987467101140494,0.9978813559322034,0.9978813559322034,0.9978813559322034,0.999110161950525,0.999110161950525,0.999110161950525,0.999110161950525,0.00211864406779661,0.0008898380494749955,0.999724602664688,0.9998981656235048,0.72,temperature,2355.0,5.0,5.0,5614.0,ToN-IoT-Network,1,A_TreeGuidedGraphMoE,val,,,,,,,,,,,
0.9975117500691181,0.9959264530432413,0.9961754748935135,0.9975111250573427,0.9945872801082544,0.9932432432432432,0.9939148073022313,0.998262682418346,0.9986096628432395,0.9984361424847958,0.9986096628432395,0.006756756756756757,0.0013903371567605145,0.9997868697686216,0.999943621339031,0.72,temperature,1470.0,10.0,8.0,5746.0,ToN-IoT-Network,1,A_TreeGuidedGraphMoE,test,,,,,,,,,,,
0.9983707231482641,0.9978601657210253,0.9980437651419041,0.99837042245114,,,,0.9985770188545002,,,0.9966101694915255,0.003389830508474576,0.0008898380494749955,0.999724602664688,0.9998981655998642,,,,,,,ToN-IoT-Network,1,B_BudgetedRLInvestigation,val,0.999110161950525,12387.210000000023,99.09768000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0005013159543802481,1.0
