tau,accuracy,balanced_accuracy,macro_f1,weighted_f1,attack_recall,minority_recall,precision_attack,fpr,fnr,roc_auc,pr_auc,cumulative_reward,cumulative_reward_per_window,avg_detection_delay,telemetry_cost,escalation_rate,isolation_rate,abstention_rate,budget_violation_rate,latency_sec,peak_memory_MB,dataset,candidate,seed,status,adapted_on_rare_windows
0.5844669276646869,0.6506849315068494,0.5,0.3941908713692946,0.5129881202751094,1.0,0.0,0.6506849315068494,1.0,0.0,0.8739938080495356,0.92361915198027,3.9999999999998845,0.028368794326240315,0.0,0.0,0.0,0.0,0.9675555555555555,0.0,26.77785348892212,0.985511,UNSW-NB15,C1_ConformalRiskGraphRL,0,ok,
0.5844669276646869,0.6407721828119549,0.5,0.3905308668225955,0.5004826319787188,1.0,0.0,0.6407721828119549,1.0,0.0,0.8600184837127705,0.907477293026864,2619.409999999997,18.577375886524802,0.0,0.0,0.0,0.0035555555555555557,0.0,0.0,26.38894486427307,1.828152,UNSW-NB15,C1_ConformalRiskGraphRL,1,ok,
,,,,,,,,,,,,-90.00000000000007,-0.638297872340426,0.0,0.0,0.0,0.0,1.0,0.0,27.786229372024536,0.526251,UNSW-NB15,C2_CausalCounterfactualRL,0,ok,
,0.62109375,0.5,0.38313253012048193,0.47592243975903614,1.0,0.0,0.62109375,1.0,0.0,0.8550186843055227,0.8995898164238206,1929.5999999999985,13.685106382978713,0.0,0.0,0.0,0.0,0.06133333333333333,0.0,27.942553520202637,1.749483,UNSW-NB15,C2_CausalCounterfactualRL,1,ok,
,0.6384444444444445,0.5,0.38966499389664994,0.49755890109558903,1.0,0.0,0.6384444444444445,1.0,0.0,0.8625288835652967,0.9086021341834293,2498.799999999998,17.72198581560282,0.0,0.0,0.0,0.0,0.0,0.0,13.27351188659668,5.983863,UNSW-NB15,C3_OfflineSafeGraphRL,0,ok,
,0.6384444444444445,0.5,0.38966499389664994,0.49755890109558903,1.0,0.0,0.6384444444444445,1.0,0.0,0.8625288835652967,0.9086021341834293,2498.799999999998,17.72198581560282,0.0,0.0,0.0,0.0,0.0,0.0,13.766050577163696,5.844183,UNSW-NB15,C3_OfflineSafeGraphRL,1,ok,
,0.6394706411409482,0.5,0.39004702194357366,0.4988472383947491,1.0,0.0,0.6394706411409482,1.0,0.0,0.8633139741456459,0.9095720017105279,2627.8249593931696,18.637056449596948,0.00011111111111111112,0.0070921985815602835,0.0,0.0,0.00011111111111111112,0.0,30.366195917129517,2.073851,UNSW-NB15,C4_BudgetedActiveAcquisitionRL,0,ok,
,0.6384042671407935,0.5,0.3896500271296799,0.49750848002222714,1.0,0.0,0.6384042671407935,1.0,0.0,0.8538469089125361,0.9040835346012792,2448.299999999998,17.363829787234028,0.0,0.0,0.0,0.34355555555555556,0.00011111111111111112,0.0,28.252923250198364,2.178291,UNSW-NB15,C4_BudgetedActiveAcquisitionRL,1,ok,
,0.6324257425742574,0.5,0.38741470811220624,0.49002206892410244,1.0,0.0,0.6324257425742574,1.0,0.0,0.8997278723306121,0.9140154476495691,128.80000000000038,0.9134751773049672,0.0,0.0,0.0,0.0,0.9102222222222223,0.0,27.587549924850464,0.523474,UNSW-NB15,C5_HierarchicalMultiAgentRL,0,ok,
,0.6378066378066378,0.5,0.3894273127753304,0.49675865006261477,1.0,0.0,0.6378066378066378,1.0,0.0,0.7986233797840313,0.8762968571382053,3270.7399999999957,23.19673758865245,0.0,0.0,0.0,0.058222222222222224,0.0,0.0,33.4748375415802,0.510903,UNSW-NB15,C5_HierarchicalMultiAgentRL,1,ok,
,0.6384444444444445,0.5,0.38966499389664994,0.49755890109558903,1.0,0.0,0.6384444444444445,1.0,0.0,0.8624635539198751,0.9085702371953538,2498.1999999999975,17.717730496453882,0.0,0.0,0.0,0.0035555555555555557,0.0,0.0,41.20618534088135,4.990351,UNSW-NB15,C6_ContinualMetaGraphRL,0,ok,23.0
,0.6378733838609005,0.5,0.38945219462402175,0.49684237847375756,1.0,0.0,0.6378733838609005,1.0,0.0,0.8360813125634378,0.8898345170198144,2033.5200000000002,14.42212765957447,0.0,0.0,0.0,0.9968888888888889,0.0,0.0,41.98263645172119,4.957627,UNSW-NB15,C6_ContinualMetaGraphRL,1,ok,23.0
,0.6384444444444445,0.5,0.38966499389664994,0.49755890109558903,1.0,0.0,0.6384444444444445,1.0,0.0,0.8625288835652967,0.9086021341834293,2498.799999999998,17.72198581560282,0.0,0.0,0.0,0.0,0.0,0.0,43.303595542907715,1.841172,UNSW-NB15,C7_LogicPreservingAdversarialRL,0,ok,
,0.6468999530295914,0.5,0.3927985739750446,0.5082027581090937,1.0,0.0,0.6468999530295914,1.0,0.0,0.8505026964673642,0.9038929831994593,2367.5999999999976,16.791489361702112,0.0,0.0,0.05377777777777778,0.0,0.0,0.0,43.281718730926514,1.757978,UNSW-NB15,C7_LogicPreservingAdversarialRL,1,ok,
,0.6500619578686493,0.5,0.39396215079603486,0.512199614145229,1.0,0.0,0.6500619578686493,1.0,0.0,0.8665139715245069,0.9132439876685228,1343.4999999999984,9.52836879432623,0.0,0.0,0.0,0.06855555555555555,0.5516666666666666,0.0,39.51751160621643,8.904361,UNSW-NB15,C8_NeuroSymbolicATTCKRL,0,ok,
,0.6472877950778503,0.5,0.39294153517798613,0.5086925197997284,1.0,0.0,0.6472877950778503,1.0,0.0,0.8513266040049322,0.9034739688380817,3037.3599999999988,21.541560283687936,0.0,0.0,0.0,0.15944444444444444,0.0,0.0,40.748450756073,8.898374,UNSW-NB15,C8_NeuroSymbolicATTCKRL,1,ok,
,0.6404654476371409,0.505309602852576,0.42142525255825264,0.5238018161400873,0.9752858723718185,0.035333333333333335,0.6462967489611342,0.9646666666666667,0.02471412762818148,0.8325314152219354,0.8910231838803044,2040.3241992867327,14.470384392104487,0.09877777777777778,0.5035460992907801,0.0,0.2733333333333333,0.0025555555555555557,0.09133333333333334,39.618067264556885,0.948948,UNSW-NB15,C9_SelfSupervisedWorldModelRL,0,ok,
,0.6610265087422448,0.5400164825171521,0.4819598344959747,0.565893043472114,0.9791298195967457,0.10090314543755839,0.6572480113973643,0.8990968545624416,0.020870180403254335,0.8359994500686697,0.892030268905014,-603.604625496006,-4.280883868766,0.5952222222222222,1.1914893617021276,0.0,0.8366666666666667,0.0005555555555555556,0.577,36.86606955528259,1.667887,UNSW-NB15,C9_SelfSupervisedWorldModelRL,1,ok,
