accuracy,balanced_accuracy,macro_f1,weighted_f1,attack_recall,minority_recall,precision_attack,fpr,fnr,roc_auc,pr_auc,model,family,train_time_sec,inference_latency_sec_per_sample,peak_memory_MB,seed,eval_split,dataset,row_cap,post_determinism_fix
0.8077333333333333,0.7676875658382427,0.779565706326611,0.8014715259122194,0.9117370892018779,0.6236380424746075,0.8108935696390461,0.3763619575253924,0.08826291079812207,0.8718818020809099,0.9157396313925754,LogisticRegression,classical_tree,0.8920254707336426,1.6878445943196614e-07,3.459299,0,test,UNSW-NB15,100000,True
0.8914,0.8676213844057471,0.8784208587633053,0.8894641191095645,0.9531559728742828,0.7820867959372114,0.8856145792943001,0.21791320406278855,0.046844027125717266,0.9591899084393852,0.9718177955138566,LinearSVM,classical_tree,13.005856990814209,6.634712219238281e-07,27.810065,0,test,UNSW-NB15,100000,True
0.7516666666666667,0.7729062174421311,0.7468122942838562,0.756558434310972,0.6965049556598852,0.8493074792243768,0.8910838227442606,0.15069252077562326,0.30349504434011476,0.8596836777995011,0.904182754173056,GaussianNB,classical_tree,0.03432655334472656,6.156762440999349e-07,30.200867,0,test,UNSW-NB15,100000,True
0.9208666666666666,0.9139775763434614,0.9141938094426241,0.9208459286451719,0.9387584767866458,0.889196675900277,0.9374869764534278,0.11080332409972299,0.0612415232133542,0.9810654439960097,0.9872264230992545,kNN,classical_tree,0.0042417049407958984,0.0001384013017018636,6.69738,0,test,UNSW-NB15,100000,True
0.9326,0.940432231224631,0.9287214988400923,0.9333437765871101,0.9122587376108503,0.9686057248384118,0.9809288759255105,0.03139427516158818,0.08774126238914971,0.9813370865045271,0.9853191419563955,DecisionTree,classical_tree,0.4871501922607422,1.2157758076985677e-07,16.317,0,test,UNSW-NB15,100000,True
0.9413333333333334,0.9440119531181137,0.9373281080928328,0.9417325883810415,0.934376630151278,0.9536472760849493,0.9727381340284567,0.046352723915050784,0.06562336984872195,0.9904509151967308,0.9947689290128509,RandomForest,classical_tree,1.633915901184082,6.725740432739258e-06,205.287687,0,test,UNSW-NB15,100000,True
0.9252,0.922630726391797,0.9195167385194574,0.9254623482469695,0.9318727177882108,0.9133887349953832,0.9501116902457185,0.0866112650046168,0.06812728221178925,0.9839451551482555,0.9909548252460453,ExtraTrees,classical_tree,1.0384669303894043,6.603844960530599e-06,190.984907,0,test,UNSW-NB15,100000,True
0.9362666666666667,0.92968323947997,0.9307548031636228,0.936185916303437,0.9533646322378717,0.9060018467220683,0.9472374831553851,0.09399815327793166,0.04663536776212832,0.9881216948419427,0.9934552568664899,GradientBoosting,classical_tree,34.92499136924744,1.4338970184326171e-06,19.178057,0,test,UNSW-NB15,100000,True
0.9420666666666667,0.9405686401160631,0.9376244135145649,0.9422519917419605,0.9459572248304643,0.935180055401662,0.9627309407517519,0.06481994459833795,0.054042775169535734,0.9906344410294056,0.9948765861034513,HistGradientBoosting,classical_tree,3.488239288330078,3.501288096110026e-06,62.013368,0,test,UNSW-NB15,100000,True
0.9447333333333333,0.9421731786017222,0.9403481283231063,0.9448443921275437,0.9513823682837768,0.9329639889196676,0.9617169373549884,0.06703601108033241,0.04861763171622326,0.9910231293028167,0.9950905463723672,XGBoost,classical_tree,0.8319675922393799,3.070990244547526e-07,0.565342,0,test,UNSW-NB15,100000,True
